normal_energy_lower_eV,normal_energy_upper_eV,probability_mass,digitized_curve_height_px,source_pdf_sha256,source_pdf_page,source_figure
41.0,42.0,0.00843452120772,66.2108333,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
42.0,43.0,0.0084132897345,66.0441667,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
43.0,44.0,0.00838677693232,65.8360417,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
44.0,45.0,0.00841729717507,66.075625,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
45.0,46.0,0.00850222306794,66.7422917,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
46.0,47.0,0.00855628370662,67.1666667,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
47.0,48.0,0.00863797179983,67.8079167,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
48.0,49.0,0.0086954825529,68.259375,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
49.0,50.0,0.0087659179653,68.8122917,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
50.0,51.0,0.00885408165784,69.504375,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
51.0,52.0,0.00894519121728,70.2195833,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
52.0,53.0,0.00914569594248,71.7935417,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
53.0,54.0,0.00927855188614,72.8364583,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
54.0,55.0,0.00948033049973,74.4204167,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
55.0,56.0,0.0095674326186,75.1041667,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
56.0,57.0,0.00973181729999,76.3945833,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
57.0,58.0,0.00995034223808,78.11,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
58.0,59.0,0.0103354015442,81.1327083,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
59.0,60.0,0.0106538736425,83.6327083,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
60.0,61.0,0.0111211518287,87.3008333,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
61.0,62.0,0.0115047780104,90.3122917,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
62.0,63.0,0.0122212340741,95.9364583,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
63.0,64.0,0.0129942720139,102.004792,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
64.0,65.0,0.0140191948441,110.050417,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
65.0,66.0,0.0155794427322,122.298333,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
66.0,67.0,0.0180390558258,141.60625,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
67.0,68.0,0.0209617273502,164.549167,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
68.0,69.0,0.0226645445809,177.91625,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
69.0,70.0,0.0219577488375,172.367917,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
70.0,71.0,0.0184223900747,144.615417,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
71.0,72.0,0.0136904785601,107.47,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
72.0,73.0,0.00903377953928,70.915,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
73.0,74.0,0.00556455681556,43.6816667,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
74.0,75.0,0.00302442335982,23.7416667,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
75.0,76.0,0.0014059746958,11.036875,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
76.0,77.0,0.000639836984749,5.02270833,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
77.0,78.0,0.000470542525181,3.69375,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
78.0,79.0,0.000466004297781,3.658125,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
79.0,80.0,0.000466004297781,3.658125,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
