source_figure,condition_family,c4f8_fraction,pulse_off_ms,trench_width_nm,depth_nm,pixel_y,axis_slope_nm_per_pixel,axis_intercept_nm,digitization_uncertainty_nm,published_errorbar_semantics,evidence_type,split,source_location
7b,pulse_off_20pct,0.2,1,100,954.6,274,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,1,150,1058.3,256,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,1,180,1110.2,247,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,1,200,1185.0,234,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
9b,pulse_off_80pct,0.8,0,60,501.8,340,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0,80,798.3,288,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0,100,900.9,270,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0,150,1060.6,242,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0,180,1140.4,228,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0,200,1151.8,226,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0.1,60,501.8,340,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0.1,80,764.1,294,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0.1,100,866.7,276,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0.1,150,1049.2,244,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0.1,180,1106.2,234,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0.1,200,1106.2,234,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,1,60,273.7,380,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,1,80,530.3,335,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,1,100,587.3,325,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,1,150,735.6,299,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,1,180,786.9,290,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,1,200,878.1,274,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
