depth_into_mask_nm,aperture_nm
253.50,76.89
254.10,76.89
254.70,77.49
255.30,77.49
255.90,78.09
256.50,78.09
257.10,78.09
257.70,78.09
258.30,78.09
258.90,78.69
259.51,79.29
260.11,79.29
260.71,79.29
261.31,79.29
261.91,79.89
262.51,79.89
263.11,80.49
263.71,80.49
264.31,80.49
264.91,81.70
265.51,81.70
266.11,82.30
266.71,82.90
267.31,82.90
267.92,82.90
268.52,83.50
269.12,83.50
269.72,83.50
270.32,84.10
270.92,84.70
271.52,84.70
272.12,84.70
272.72,84.70
273.32,84.70
273.92,84.70
274.52,85.30
275.12,85.30
275.72,85.30
276.33,85.30
276.93,85.30
277.53,85.90
278.13,85.90
278.73,85.90
279.33,85.90
279.93,85.90
280.53,85.90
281.13,85.90
281.73,86.50
282.33,86.50
282.93,86.50
283.53,86.50
284.13,86.50
284.73,87.10
285.34,87.10
285.94,87.10
286.54,87.10
287.14,87.10
287.74,86.50
288.34,86.50
288.94,86.50
289.54,86.50
290.14,86.50
290.74,86.50
291.34,86.50
291.94,86.50
292.54,86.50
293.14,85.90
293.75,85.90
294.35,85.30
294.95,84.70
295.55,84.70
296.15,84.10
296.75,83.50
297.35,82.90
297.95,82.90
298.55,82.90
299.15,82.90
299.75,82.90
300.35,83.50
300.95,83.50
301.55,83.50
302.16,84.10
302.76,84.10
303.36,84.70
303.96,84.70
304.56,85.90
305.16,86.50
305.76,87.10
306.36,87.10
306.96,88.30
307.56,88.90
308.16,89.51
308.76,90.11
309.36,90.71
309.96,90.71
310.57,90.71
311.17,90.11
311.77,90.11
312.37,90.11
312.97,90.11
313.57,90.11
314.17,89.51
314.77,89.51
315.37,89.51
315.97,89.51
316.57,90.11
317.17,90.11
317.77,89.51
318.37,89.51
318.98,89.51
319.58,89.51
320.18,89.51
320.78,89.51
321.38,89.51
321.98,90.11
322.58,90.11
323.18,90.71
323.78,90.71
324.38,90.71
324.98,90.71
325.58,90.71
326.18,91.31
326.78,91.31
327.39,90.71
327.99,90.71
328.59,90.71
329.19,90.71
329.79,90.11
330.39,90.11
330.99,90.11
331.59,89.51
332.19,90.11
332.79,90.11
333.39,90.11
333.99,90.11
334.59,90.11
335.19,90.11
335.80,90.71
336.40,90.71
337.00,90.71
337.60,91.31
338.20,91.31
338.80,91.31
339.40,91.31
340.00,91.31
340.60,91.31
341.20,91.31
341.80,91.91
342.40,91.91
343.00,91.91
343.60,91.91
344.20,91.31
344.81,91.31
345.41,91.91
346.01,91.31
346.61,91.31
347.21,91.31
347.81,90.71
348.41,90.71
349.01,90.71
349.61,90.11
350.21,90.11
350.81,90.11
351.41,89.51
352.01,88.90
352.61,88.30
353.22,88.30
353.82,88.30
354.42,87.70
355.02,87.70
355.62,87.70
356.22,87.70
356.82,87.70
357.42,87.70
358.02,87.70
358.62,87.70
359.22,87.70
359.82,87.70
360.42,87.70
361.02,88.30
361.63,88.30
362.23,88.30
362.83,88.30
363.43,88.90
364.03,88.90
364.63,89.51
365.23,89.51
365.83,90.11
366.43,90.11
367.03,90.71
367.63,90.71
368.23,90.71
368.83,91.31
369.43,91.31
370.04,91.91
370.64,91.31
371.24,91.31
371.84,91.31
372.44,91.91
373.04,91.91
373.64,91.31
374.24,91.31
374.84,91.31
375.44,91.31
376.04,91.91
376.64,91.31
377.24,91.31
377.84,90.71
378.45,90.71
379.05,90.71
379.65,90.71
380.25,90.71
380.85,90.71
381.45,90.71
382.05,90.71
382.65,90.71
383.25,91.31
383.85,91.31
384.45,91.31
385.05,91.31
385.65,91.31
386.25,91.31
386.86,91.31
387.46,91.31
388.06,91.31
388.66,91.31
389.26,91.31
389.86,91.91
390.46,91.91
391.06,91.91
391.66,91.91
392.26,91.91
392.86,91.31
393.46,91.31
394.06,91.31
394.66,90.71
395.27,90.11
395.87,90.11
396.47,90.11
397.07,89.51
397.67,89.51
398.27,89.51
398.87,89.51
399.47,88.90
400.07,89.51
400.67,88.90
401.27,88.90
401.87,88.90
402.47,88.90
403.07,88.90
403.67,88.90
404.28,88.30
404.88,88.30
405.48,88.30
406.08,88.30
406.68,88.30
407.28,87.70
407.88,87.70
408.48,87.70
409.08,87.70
409.68,87.70
410.28,87.70
410.88,88.30
411.48,88.30
412.08,88.30
412.69,88.90
413.29,88.90
413.89,88.90
414.49,89.51
415.09,89.51
415.69,89.51
416.29,89.51
416.89,90.11
417.49,90.11
418.09,90.11
418.69,90.11
419.29,90.11
419.89,89.51
420.49,89.51
421.10,89.51
421.70,89.51
422.30,89.51
422.90,89.51
423.50,89.51
424.10,89.51
424.70,89.51
425.30,89.51
425.90,89.51
426.50,89.51
427.10,89.51
427.70,89.51
428.30,89.51
428.90,89.51
429.51,89.51
430.11,89.51
430.71,89.51
431.31,88.90
431.91,88.90
432.51,88.90
433.11,88.90
433.71,89.51
434.31,89.51
434.91,90.11
435.51,90.11
436.11,90.71
436.71,91.31
437.31,91.31
437.92,91.31
438.52,91.31
439.12,91.91
439.72,91.91
440.32,91.91
440.92,91.91
441.52,91.91
442.12,91.91
442.72,91.31
443.32,91.31
443.92,91.31
444.52,91.31
445.12,90.71
445.72,90.71
446.33,90.71
446.93,90.11
447.53,90.11
448.13,90.11
448.73,89.51
449.33,89.51
449.93,89.51
450.53,89.51
451.13,89.51
451.73,89.51
452.33,90.11
452.93,90.11
453.53,90.11
454.13,90.11
454.73,90.11
455.34,90.11
455.94,90.11
456.54,90.11
457.14,90.11
457.74,90.11
458.34,90.11
458.94,89.51
459.54,89.51
460.14,88.90
460.74,88.90
461.34,88.30
461.94,87.70
462.54,87.70
463.14,88.30
463.75,88.30
464.35,88.30
464.95,87.70
465.55,87.70
466.15,87.70
466.75,87.70
467.35,87.70
467.95,87.10
468.55,87.10
469.15,87.70
469.75,87.70
470.35,87.70
470.95,87.70
471.55,87.70
472.16,87.70
472.76,87.70
473.36,87.70
473.96,87.70
474.56,88.30
475.16,88.30
475.76,87.70
476.36,87.70
476.96,87.70
477.56,88.30
478.16,88.30
478.76,88.90
479.36,88.90
479.96,88.90
480.57,88.90
481.17,89.51
481.77,88.90
482.37,88.90
482.97,88.90
483.57,88.90
484.17,88.90
484.77,88.90
485.37,88.30
485.97,88.30
486.57,88.30
487.17,87.70
487.77,87.70
488.37,87.10
488.98,87.10
489.58,87.10
490.18,87.10
490.78,87.10
491.38,87.70
491.98,87.70
492.58,87.70
493.18,87.70
493.78,88.30
494.38,88.90
494.98,88.90
495.58,88.90
496.18,88.90
496.78,89.51
497.39,89.51
497.99,88.90
498.59,88.90
499.19,88.90
499.79,88.90
500.39,88.30
500.99,88.30
501.59,88.30
502.19,88.30
502.79,87.70
503.39,87.10
503.99,87.10
504.59,87.10
505.19,87.10
505.80,86.50
506.40,86.50
507.00,87.10
507.60,87.10
508.20,87.10
508.80,87.10
509.40,88.30
510.00,88.30
510.60,88.30
511.20,88.90
511.80,88.90
512.40,89.51
513.00,88.90
513.60,88.90
514.20,88.90
514.81,88.90
515.41,88.90
516.01,88.90
516.61,88.30
517.21,88.30
517.81,88.30
518.41,88.30
519.01,88.30
519.61,88.90
520.21,88.30
520.81,88.30
521.41,88.30
522.01,88.30
522.61,88.30
523.22,88.30
523.82,88.30
524.42,88.30
525.02,88.30
525.62,88.30
526.22,88.30
526.82,87.70
527.42,87.70
528.02,87.70
528.62,88.30
529.22,87.70
529.82,87.70
530.42,87.70
531.02,87.70
531.63,87.70
532.23,87.70
532.83,87.70
533.43,87.70
534.03,87.70
534.63,87.70
535.23,87.70
535.83,87.70
536.43,87.70
537.03,87.70
537.63,87.70
538.23,87.70
538.83,87.70
539.43,87.70
540.04,87.70
540.64,87.70
541.24,87.70
541.84,87.10
542.44,87.10
543.04,87.70
543.64,87.70
544.24,87.70
544.84,87.70
545.44,87.70
546.04,87.70
546.64,87.70
547.24,87.70
547.84,87.70
548.45,87.70
