electron_energy_eV,a_3Pi_u_m2,A_1Pi_u_m2,b_3Pi_g_m2,B_1Pi_g_m2,C_1Delta_g_m2,c_3Sigma_g_minus_m2,D_1Sigma_g_plus_m2,e_3Sigma_u_plus_m2
2.2999999999999998,0,0,0,0,0,0,0,0
2.3199999999999998,0,0,0,0,0,0,0,0
2.3399999999999999,0,0,0,0,0,0,0,0
2.3599999999999999,0,0,0,0,0,0,0,0
2.3799999999999999,0,0,0,0,0,0,0,0
2.3999999999999999,0,0,0,0,0,0,0,0
2.4199999999999999,0,0,0,0,0,0,0,0
2.4399999999999999,0,0,0,0,0,0,0,0
2.46,0,0,0,0,0,0,0,0
2.48,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0
2.52,0,0,0,0,0,0,0,0
2.54,0,0,0,0,0,0,0,0
2.5600000000000001,0,0,0,0,0,0,0,0
2.5800000000000001,0,0,0,0,0,0,0,0
2.6000000000000001,0,0,0,0,0,0,0,0
2.6200000000000001,0,0,0,0,0,0,0,0
2.6400000000000001,0,0,0,0,0,0,0,0
2.6600000000000001,0,0,0,0,0,0,0,0
2.6800000000000002,0,0,0,0,0,0,0,0
2.7000000000000002,0,0,0,0,0,0,0,0
2.7200000000000002,0,0,0,0,0,0,0,0
2.7400000000000002,0,0,0,0,0,0,0,0
2.7599999999999998,0,0,0,0,0,0,0,0
2.7799999999999998,0,0,0,0,0,0,0,0
2.7999999999999998,0,0,0,0,0,0,0,0
2.8199999999999998,0,0,0,0,0,0,0,0
2.8399999999999999,0,0,0,0,0,0,0,0
2.8599999999999999,0,0,0,0,0,0,0,0
2.8799999999999999,0,0,0,0,0,0,0,0
2.8999999999999999,0,0,0,0,0,0,0,0
2.9199999999999999,0,0,0,0,0,0,0,0
2.9399999999999999,0,0,0,0,0,0,0,0
2.96,0,0,0,0,0,0,0,0
2.98,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3.02,0,0,0,0,0,0,0,0
3.04,0,0,0,0,0,0,0,0
3.0600000000000001,0,0,0,0,0,0,0,0
3.0800000000000001,0,0,0,0,0,0,0,0
3.1000000000000001,0,0,0,0,0,0,0,0
3.1200000000000001,0,0,0,0,0,0,0,0
3.1400000000000001,0,0,0,0,0,0,0,0
3.1600000000000001,0,0,0,0,0,0,0,0
3.1800000000000002,0,0,0,0,0,0,0,0
3.2000000000000002,0,0,0,0,0,0,0,0
3.2200000000000002,0,0,0,0,0,0,0,0
3.2400000000000002,0,0,0,0,0,0,0,0
3.2599999999999998,6.92601e-24,0,0,0,0,0,0,0
3.2799999999999998,3.5899999999999998e-23,0,0,0,0,0,0,0
3.2999999999999998,9.3499999999999993e-23,0,0,0,0,0,0,0
3.3199999999999998,1.9779999999999999e-22,0,0,0,0,0,0,0
3.3399999999999999,3.8079999999999998e-22,0,0,0,0,0,0,0
3.3599999999999999,6.9700000000000001e-22,0,0,0,0,0,0,0
3.3799999999999999,1.2277e-21,0,0,0,0,0,0,0
3.3999999999999999,2.0428000000000003e-21,0,0,0,0,0,0,0
3.4199999999999999,3.0411999999999999e-21,0,0,0,0,0,0,0
3.4399999999999999,3.7844999999999999e-21,0,0,0,0,0,0,0
3.46,3.8823999999999997e-21,0,0,0,0,0,0,0
3.48,3.4946999999999996e-21,0,0,0,0,0,0,0
