electron_energy_eV,total_dissociation_cross_section_m2
0.02,0
0.040000000000000001,0
0.059999999999999998,0
0.080000000000000002,0
0.10000000000000001,0
0.12,0
0.14000000000000001,0
0.16,0
0.17999999999999999,0
0.20000000000000001,0
0.22,0
0.23999999999999999,0
0.26000000000000001,0
0.28000000000000003,0
0.29999999999999999,0
0.32000000000000001,0
0.34000000000000002,0
0.35999999999999999,0
0.38,0
0.40000000000000002,0
0.41999999999999998,0
0.44,0
0.46000000000000002,0
0.47999999999999998,0
0.5,0
0.52000000000000002,0
0.54000000000000004,0
0.56000000000000005,0
0.57999999999999996,0
0.59999999999999998,0
0.62,0
0.64000000000000001,0
0.66000000000000003,0
0.68000000000000005,0
0.69999999999999996,0
0.71999999999999997,0
0.73999999999999999,0
0.76000000000000001,0
0.78000000000000003,0
0.80000000000000004,0
0.81999999999999995,0
0.83999999999999997,0
0.85999999999999999,0
0.88,0
0.90000000000000002,0
0.92000000000000004,0
0.93999999999999995,0
0.95999999999999996,0
0.97999999999999998,0
1,0
1.02,0
1.04,0
1.0600000000000001,0
1.0800000000000001,0
1.1000000000000001,0
1.1200000000000001,0
1.1399999999999999,0
1.1599999999999999,0
1.1799999999999999,0
1.2,0
1.22,0
1.24,0
1.26,0
1.28,0
1.3,0
1.3200000000000001,0
1.3400000000000001,0
1.3600000000000001,0
1.3799999999999999,0
1.3999999999999999,0
1.4199999999999999,0
1.4399999999999999,0
1.46,0
1.48,0
1.5,0
1.52,0
1.54,0
1.5600000000000001,0
1.5800000000000001,0
1.6000000000000001,0
1.6200000000000001,0
1.6399999999999999,0
1.6599999999999999,0
1.6799999999999999,0
1.7,0
1.72,0
1.74,0
1.76,0
1.78,0
1.8,0
1.8200000000000001,0
1.8400000000000001,0
1.8600000000000001,0
1.8799999999999999,0
1.8999999999999999,0
1.9199999999999999,0
1.9399999999999999,0
1.96,0
1.98,0
2,0
2.02,0
2.04,0
2.0600000000000001,0
2.0800000000000001,0
2.1000000000000001,0
2.1200000000000001,0
2.1400000000000001,0
2.1600000000000001,0
2.1800000000000002,0
2.2000000000000002,0
2.2200000000000002,0
2.2400000000000002,0
2.2599999999999998,0
2.2799999999999998,0
2.2999999999999998,0
2.3199999999999998,0
2.3399999999999999,0
2.3599999999999999,0
2.3799999999999999,0
2.3999999999999999,0
2.4199999999999999,0
2.4399999999999999,0
2.46,0
2.48,0
2.5,0
2.52,0
2.54,0
2.5600000000000001,0
2.5800000000000001,0
2.6000000000000001,0
2.6200000000000001,0
2.6400000000000001,0
2.6600000000000001,0
2.6800000000000002,0
2.7000000000000002,0
2.7200000000000002,0
2.7400000000000002,0
2.7599999999999998,0
2.7799999999999998,0
2.7999999999999998,0
2.8199999999999998,0
2.8399999999999999,0
2.8599999999999999,0
2.8799999999999999,0
2.8999999999999999,0
2.9199999999999999,0
2.9399999999999999,0
2.96,0
2.98,0
3,0
3.02,0
3.04,0
3.0600000000000001,0
3.0800000000000001,0
3.1000000000000001,0
3.1200000000000001,0
3.1400000000000001,0
3.1600000000000001,0
3.1800000000000002,0
3.2000000000000002,0
3.2200000000000002,0
3.2400000000000002,0
3.2599999999999998,6.92601e-24
3.2799999999999998,3.5899999999999998e-23
3.2999999999999998,9.3499999999999993e-23
3.3199999999999998,1.9779999999999999e-22
3.3399999999999999,3.8079999999999998e-22
3.3599999999999999,6.9700000000000001e-22
3.3799999999999999,1.2277e-21
3.3999999999999999,2.0428000000000003e-21
3.4199999999999999,3.0411999999999999e-21
3.4399999999999999,3.7844999999999999e-21
3.46,3.8823999999999997e-21
3.48,3.4946999999999996e-21
3.5,2.9773e-21
3.52,2.5147e-21
3.54,2.1484000000000002e-21
3.5600000000000001,1.8683000000000001e-21
3.5800000000000001,1.6551e-21
3.6000000000000001,1.4916e-21
3.6200000000000001,1.3648000000000001e-21
3.6400000000000001,1.2654000000000002e-21
3.6600000000000001,1.1868000000000001e-21
3.6800000000000002,1.1241000000000001e-21
3.7000000000000002,1.0740000000000001e-21
3.7200000000000002,1.0338e-21
3.7400000000000002,1.0015e-21
3.7599999999999998,9.7579999999999988e-22
3.7799999999999998,9.5540000000000009e-22
3.7999999999999998,9.3950000000000003e-22
3.8199999999999998,9.2730000000000001e-22
3.8399999999999999,9.183e-22
3.8599999999999999,9.1199999999999998e-22
3.8799999999999999,9.0799999999999992e-22
3.8999999999999999,9.0609999999999998e-22
3.9199999999999999,9.0579999999999996e-22
3.9399999999999999,9.0719999999999986e-22
3.96,9.0980000000000003e-22
3.98,9.1359999999999989e-22
4,9.1840000000000001e-22
4.0199999999999996,9.242e-22
4.04,9.3070000000000004e-22
4.0599999999999996,9.3789999999999993e-22
4.0800000000000001,9.4580000000000005e-22
4.0999999999999996,9.5420000000000002e-22
4.1200000000000001,9.6310000000000002e-22
4.1399999999999997,9.7240000000000004e-22
4.1600000000000001,9.8219999999999991e-22
4.1799999999999997,9.9219999999999998e-22
4.2000000000000002,1.0025999999999999e-21
4.2199999999999998,1.0132000000000002e-21
4.2400000000000002,1.0240000000000001e-21
4.2599999999999998,1.0350999999999999e-21
4.2800000000000002,1.0464e-21
4.2999999999999998,1.0578e-21
4.3200000000000003,1.0694e-21
4.3399999999999999,1.0811e-21
4.3600000000000003,1.3171999999999999e-21
4.3799999999999999,1.4648000000000002e-21
4.4000000000000004,1.5680000000000001e-21
4.4199999999999999,1.6524000000000002e-21
4.4400000000000004,1.7256000000000001e-21
4.46,1.7913000000000001e-21
4.4800000000000004,1.8515000000000002e-21
4.5,1.9074e-21
4.5199999999999996,1.9599999999999999e-21
4.54,2.0098000000000001e-21
4.5599999999999996,2.0573000000000001e-21
4.5800000000000001,2.1027999999999999e-21
4.5999999999999996,2.1465999999999997e-21
4.6200000000000001,2.1888000000000001e-21
4.6399999999999997,2.2296000000000004e-21
4.6600000000000001,2.2692999999999996e-21
4.6799999999999997,2.3078999999999997e-21
4.7000000000000002,2.3455000000000002e-21
4.7199999999999998,2.3820999999999999e-21
4.7400000000000002,2.4178999999999999e-21
4.7599999999999998,2.4528999999999999e-21
4.7800000000000002,2.4872999999999998e-21
4.7999999999999998,2.5209000000000001e-21
4.8200000000000003,2.5539999999999999e-21
4.8399999999999999,2.5864000000000001e-21
4.8600000000000003,2.6182999999999998e-21
4.8799999999999999,2.6495999999999999e-21
4.9000000000000004,2.6805999999999996e-21
4.9199999999999999,2.7110000000000001e-21
4.9400000000000004,2.7409000000000001e-21
4.96,2.7705000000000001e-21
4.9800000000000004,2.7997e-21
5,2.8285000000000003e-21
5.0199999999999996,2.8568999999999999e-21
5.04,2.8851000000000002e-21
5.0599999999999996,2.9129e-21
5.0800000000000001,2.9402999999999999e-21
5.0999999999999996,2.9675000000000001e-21
5.1200000000000001,2.9943999999999999e-21
5.1399999999999997,3.0211000000000001e-21
5.1600000000000001,3.0476000000000003e-21
5.1799999999999997,3.0737000000000001e-21
5.2000000000000002,3.0997000000000002e-21
5.2199999999999998,3.1253999999999999e-21
5.2400000000000002,3.1508999999999997e-21
5.2599999999999998,3.1762999999999998e-21
5.2800000000000002,3.2013999999999999e-21
5.2999999999999998,3.2263999999999999e-21
5.3200000000000003,3.2512e-21
5.3399999999999999,3.2759000000000001e-21
5.3600000000000003,3.3003000000000001e-21
5.3799999999999999,3.3247000000000001e-21
5.4000000000000004,3.3490000000000002e-21
5.4199999999999999,3.3730999999999998e-21
5.4400000000000004,3.3971000000000002e-21
5.46,3.4209999999999998e-21
5.4800000000000004,3.4447999999999999e-21
5.5,3.4684999999999995e-21
5.5199999999999996,3.4920999999999995e-21
5.54,3.5155999999999998e-21
5.5599999999999996,3.5391999999999998e-21
5.5800000000000001,3.5624999999999994e-21
5.5999999999999996,3.5859000000000001e-21
5.6200000000000001,3.6093000000000001e-21
5.6399999999999997,3.6325000000000001e-21
5.6600000000000001,3.6558000000000004e-21
5.6799999999999997,3.6791e-21
5.7000000000000002,3.7023999999999996e-21
5.7199999999999998,3.7255999999999996e-21
5.7400000000000002,3.7490000000000003e-21
5.7599999999999998,3.7722000000000003e-21
5.7800000000000002,3.7955999999999995e-21
5.7999999999999998,3.8190999999999998e-21
5.8200000000000003,3.8424999999999998e-21
5.8399999999999999,3.8660999999999998e-21
5.8600000000000003,3.8898000000000002e-21
5.8799999999999999,3.9136000000000002e-21
5.9000000000000004,3.9374999999999998e-21
5.9199999999999999,3.9616000000000002e-21
5.9400000000000004,3.9860000000000002e-21
5.96,4.0105000000000007e-21
5.9800000000000004,4.0351999999999996e-21
6,4.0603999999999997e-21
6.0199999999999996,4.0858000000000005e-21
6.04,4.1118000000000007e-21
6.0599999999999996,4.1382000000000009e-21
6.0800000000000001,4.1652000000000003e-21
6.0999999999999996,4.1928000000000005e-21
6.1200000000000001,4.2212000000000001e-21
6.1399999999999997,4.2505999999999997e-21
6.1600000000000001,4.2810999999999997e-21
6.1799999999999997,4.3129999999999999e-21
6.2000000000000002,4.3465000000000001e-21
6.2199999999999998,4.3821999999999997e-21
6.2400000000000002,4.4203999999999999e-21
6.2599999999999998,4.4618000000000003e-21
6.2800000000000002,4.5073000000000005e-21
6.2999999999999998,4.5582000000000004e-21
6.3200000000000003,4.6160000000000002e-21
6.3399999999999999,4.6832e-21
6.3600000000000003,4.7632000000000005e-21
6.3799999999999999,4.8610999999999996e-21
6.4000000000000004,4.9846999999999999e-21
6.4199999999999999,5.1457999999999999e-21
6.4400000000000004,5.3634000000000002e-21
6.46,5.6669000000000002e-21
6.4800000000000004,6.1014000000000002e-21
6.5,6.7351999999999997e-21
6.5199999999999996,7.4144999999999994e-21
6.54,7.7877000000000005e-21
6.5599999999999996,7.7221000000000009e-21
6.5800000000000001,7.4022999999999994e-21
6.5999999999999996,7.0398999999999991e-21
6.6200000000000001,6.7294000000000001e-21
6.6399999999999997,6.4879999999999999e-21
6.6600000000000001,6.3068000000000004e-21
6.6799999999999997,6.1724000000000002e-21
6.7000000000000002,6.0727999999999999e-21
6.7199999999999998,5.9994000000000005e-21
6.7400000000000002,5.9454000000000001e-21
6.7599999999999998,5.9062000000000007e-21
6.7800000000000002,5.8783e-21
6.7999999999999998,5.8592999999999996e-21
6.8200000000000003,5.8473000000000003e-21
6.8399999999999999,5.8407999999999995e-21
6.8600000000000003,5.8388000000000002e-21
6.8799999999999999,5.8404000000000003e-21
6.9000000000000004,5.8450999999999994e-21
6.9199999999999999,5.8522999999999999e-21
6.9400000000000004,5.8616000000000001e-21
6.96,5.8725999999999993e-21
6.9800000000000004,5.8852000000000001e-21
7,5.8989999999999994e-21
7.0199999999999996,5.9139999999999996e-21
7.04,5.9298999999999995e-21
7.0599999999999996,5.9466999999999991e-21
7.0800000000000001,5.9641000000000002e-21
7.0999999999999996,5.9823000000000006e-21
7.1200000000000001,6.0008999999999995e-21
7.1399999999999997,6.0201e-21
7.1600000000000001,6.0397000000000005e-21
7.1799999999999997,6.0596999999999995e-21
7.2000000000000002,6.0801e-21
7.2199999999999998,6.1008000000000002e-21
7.2400000000000002,6.1218e-21
7.2599999999999998,6.1429999999999998e-21
7.2800000000000002,6.1642000000000004e-21
7.2999999999999998,6.1856999999999999e-21
7.3200000000000003,6.2073999999999994e-21
7.3399999999999999,6.2293000000000004e-21
7.3600000000000003,6.2514000000000007e-21
7.3799999999999999,6.2735999999999998e-21
7.4000000000000004,6.2960999999999994e-21
7.4199999999999999,6.3187999999999997e-21
7.4400000000000004,6.3417000000000008e-21
7.46,6.3646000000000003e-21
7.4800000000000004,6.3879999999999996e-21
7.5,6.4113999999999995e-21
7.5199999999999996,6.4352000000000003e-21
7.54,6.4611528599999999e-21
7.5599999999999996,6.4858088999999994e-21
7.5800000000000001,6.5107000000000002e-21
7.5999999999999996,6.5359999999999999e-21
7.6200000000000001,6.5615999999999993e-21
7.6399999999999997,6.5874999999999998e-21
7.6600000000000001,6.6134000000000003e-21
7.6799999999999997,6.6397000000000001e-21
7.7000000000000002,6.6659000000000002e-21
7.7199999999999998,6.6923000000000004e-21
7.7400000000000002,6.7187000000000005e-21
7.7599999999999998,6.7451e-21
7.7800000000000002,6.7715000000000001e-21
7.7999999999999998,6.797921878999999e-21
7.8200000000000003,6.8240487119999996e-21
7.8399999999999999,6.8502021770000003e-21
7.8600000000000003,6.8766807700000015e-21
7.8799999999999999,6.9029777799999985e-21
7.9000000000000004,6.9292876600000003e-21
7.9199999999999999,6.9555061099999995e-21
7.9400000000000004,6.9818298299999986e-21
7.96,7.0080562700000006e-21
7.9800000000000004,7.0341834599999993e-21
8,7.0603098800000016e-21
8.0199999999999996,7.0865343900000005e-21
8.0399999999999991,7.1125560900000002e-21
8.0600000000000005,7.1383743700000004e-21
8.0800000000000001,7.1641887900000003e-21
8.0999999999999996,7.190099119999999e-21
8.1199999999999992,7.2158052999999988e-21
8.1400000000000006,7.2414074899999998e-21
8.1600000000000001,7.266906110000002e-21
8.1799999999999997,7.292302049999999e-21
8.1999999999999993,7.3175972099999999e-21
8.2200000000000006,7.3429976499999991e-21
8.2400000000000002,7.368454278999999e-21
8.2599999999999998,7.3932212799999997e-21
8.2799999999999994,7.4178853800000007e-21
8.3000000000000007,7.4423891500000018e-21
8.3200000000000003,7.4668307400000013e-21
8.3399999999999999,7.4910593900000012e-21
8.3599999999999994,7.5151778400000006e-21
8.3800000000000008,7.5392875099999993e-21
8.4000000000000004,7.5629891599999982e-21
8.4199999999999999,7.5867832300000012e-21
8.4399999999999995,7.6102700300000003e-21
8.4600000000000009,7.6337497499999995e-21
8.4800000000000004,7.6568225400000009e-21
8.5,7.6797885599999991e-21
8.5199999999999996,7.7026479300000008e-21
8.5399999999999991,7.7253008000000006e-21
8.5600000000000005,7.7478473100000017e-21
8.5800000000000001,7.7700876000000007e-21
8.5999999999999996,7.7920218299999996e-21
8.6199999999999992,7.8140501500000006e-21
8.6400000000000006,7.8356727200000013e-21
8.6600000000000001,7.8571896999999997e-21
8.6799999999999997,7.8783012600000004e-21
8.6999999999999993,7.8993075800000015e-21
8.7200000000000006,7.9202088000000003e-21
8.7400000000000002,7.9407051100000001e-21
8.7599999999999998,7.9610966599999986e-21
8.7799999999999994,7.9811836199999988e-21
8.8000000000000007,8.0011661400000003e-21
8.8200000000000003,8.0207444000000018e-21
8.8399999999999999,8.0403185299999993e-21
8.8599999999999994,8.0592886999999984e-21
8.8800000000000008,8.0783550400000001e-21
8.9000000000000004,8.0969177099999995e-21
8.9199999999999999,8.11537683e-21
8.9399999999999995,8.13353255e-21
8.9600000000000009,8.1515849900000004e-21
8.9800000000000004,8.1693342700000009e-21
9,8.1867804999999989e-21
9.0199999999999996,8.2039237899999977e-21
9.0399999999999991,8.2207999999999997e-21
9.0600000000000005,8.2374999999999996e-21
9.0800000000000001,8.2539000000000007e-21
9.0999999999999996,8.2699999999999983e-21
9.1199999999999992,8.2859999999999993e-21
9.1400000000000006,8.3016000000000003e-21
9.1600000000000001,8.3169000000000009e-21
9.1799999999999997,8.3319999999999992e-21
9.1999999999999993,8.3467999999999986e-21
9.2200000000000006,8.361428064000002e-21
9.2400000000000002,8.3756456909999994e-21
9.2599999999999998,8.3898234249999997e-21
9.2799999999999994,8.4035958839999982e-21
9.3000000000000007,8.4170668030000005e-21
9.3200000000000003,8.4306372379999994e-21
9.3399999999999999,8.4437075289999997e-21
9.3599999999999994,8.4567777559999983e-21
9.3800000000000008,8.4693479020000014e-21
9.4000000000000004,8.4817179050000019e-21
9.4199999999999999,8.4939876900000005e-21
9.4399999999999995,8.5059571819999978e-21
9.4600000000000009,8.5177263039999992e-21
9.4800000000000004,8.5293949890000026e-21
9.5,8.5407631699999995e-21
9.5199999999999996,8.5518307999999987e-21
9.5399999999999991,8.5626978200000028e-21
9.5600000000000005,8.573364190000001e-21
9.5800000000000001,8.5838298699999993e-21
9.5999999999999996,8.5940948299999975e-21
9.6199999999999992,8.6042590200000012e-21
9.6400000000000006,8.6141224299999975e-21
9.6600000000000001,8.6236850399999999e-21
9.6799999999999997,8.6331468199999986e-21
9.6999999999999993,8.6423077400000001e-21
9.7200000000000006,8.6514678100000005e-21
9.7400000000000002,8.6604270000000018e-21
9.7599999999999998,8.6691852899999995e-21
9.7799999999999994,8.67764269e-21
9.8000000000000007,8.685999180000001e-21
9.8200000000000003,8.6941547500000013e-21
9.8399999999999999,8.7023094000000002e-21
9.8599999999999994,8.7102631199999999e-21
9.8800000000000008,8.7180159100000004e-21
9.9000000000000004,8.7256677600000013e-21
9.9199999999999999,8.7330186799999988e-21
9.9399999999999995,8.7402686599999998e-21
9.9600000000000009,8.7475177100000008e-21
9.9800000000000004,8.7545658199999996e-21
10,8.7615129900000003e-21
10.02,8.7682592400000018e-21
10.039999999999999,8.7750045600000018e-21
10.06,8.7816489600000009e-21
10.08,8.7879924399999996e-21
10.1,8.7945350000000007e-21
10.119999999999999,8.8005766599999992e-21
10.140000000000001,8.8068174200000002e-21
10.16,8.812757290000001e-21
10.18,8.8188962799999983e-21
10.199999999999999,8.8246343899999988e-21
10.220000000000001,8.8304716400000021e-21
10.24,8.8364080299999994e-21
10.26,8.84194358e-21
10.279999999999999,8.8475782800000006e-21
10.300000000000001,8.8531121700000004e-21
