electron_energy_eV,cross_section_1e_minus_20_m2
11.5,0.03
12,0.11
13,0.25
14,0.43
15,0.69
16,0.99
17,1.32
18,1.67
19,2.06
20,2.47
22,3.25
24,3.79
26,4.17
28,4.51
30,4.80
35,5.26
40,5.49
45,5.68
50,5.87
55,6.03
60,6.15
65,6.25
70,6.32
75,6.33
80,6.31
85,6.28
90,6.25
95,6.22
100,6.19
