pressure_mTorr,electron_temperature_eV,pixel_x,pixel_y,stroke_half_height_pixels,argon_oxygen_strokes_overlap
0.4,6.914648718996029,588.2818571295555,612.1395348837209,5.5,False
0.5,6.341276592139076,620.3590714352222,641.5,7.0,False
0.7,5.582491569590302,668.7274512447191,684.7272727272727,6.0,False
1.0,4.9743185439583115,720.0,723.8510638297872,6.5,False
1.5,4.400581911628774,778.2862067474305,765.4186046511628,6.0,False
2.0,4.062887781787845,819.6409285647778,792.5,6.0,False
3.0,3.6699545972421634,877.9271353122083,827.0,5.5,False
5.0,3.264909183110295,951.3590714352222,866.6666666666666,5.0,False
7.0,3.0380332648460024,999.7274512447191,891.0952380952381,5.5,False
10.0,2.822956755849604,1051.0,916.0,4.5,False
15.0,2.6084528966638003,1109.2862067474305,942.8048780487804,5.0,False
20.0,2.4656612998860097,1150.6409285647778,961.9,4.5,False
30.0,2.2887748519311266,1208.9271353122083,987.15,5.0,False
50.0,2.0879414203500835,1282.3590714352222,1018.3,5.0,False
70.0,1.982929434826227,1330.727451244719,1035.8030303030303,8.5,True
100.0,1.8516308903638588,1382.0,1059.04,6.5,True
150.0,1.716693673375664,1440.2862067474305,1084.704918032787,7.5,True
200.0,1.627023565469297,1481.6409285647778,1102.9014084507041,10.0,True
