observation_id,observable,reduced_field_Td,value_si,si_unit,published_value,published_unit,relative_uncertainty_min,relative_uncertainty_max,source_table,source_pdf_page,source_print_page,measurement_method,gas_temperature_K_min,gas_temperature_K_max,pressure_Torr_min,pressure_Torr_max,supports_cross_section_validation,supports_reactor_state_prediction,supports_wafer_flux,supports_feature_depth
gonzalez_2018_cl2_alpha_minus_eta_120Td,effective_ionization_coefficient,120,-2.380000e-21,m^2,-2.380,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_alpha_minus_eta_140Td,effective_ionization_coefficient,140,-2.260000e-21,m^2,-2.260,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_alpha_minus_eta_160Td,effective_ionization_coefficient,160,-2.180000e-21,m^2,-2.180,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_alpha_minus_eta_180Td,effective_ionization_coefficient,180,-1.940000e-21,m^2,-1.940,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_alpha_minus_eta_200Td,effective_ionization_coefficient,200,-1.560000e-21,m^2,-1.560,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_alpha_minus_eta_220Td,effective_ionization_coefficient,220,-1.260000e-21,m^2,-1.260,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_alpha_minus_eta_240Td,effective_ionization_coefficient,240,-8.470000e-22,m^2,-0.847,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_alpha_minus_eta_260Td,effective_ionization_coefficient,260,-4.520000e-22,m^2,-0.452,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_alpha_minus_eta_270Td,effective_ionization_coefficient,270,-1.890000e-22,m^2,-0.189,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_alpha_minus_eta_280Td,effective_ionization_coefficient,280,2.000000e-24,m^2,0.002,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_alpha_minus_eta_290Td,effective_ionization_coefficient,290,2.370000e-22,m^2,0.237,10^-17 cm^2,0.05,0.09,Table A2,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
