electron_energy_eV,cross_section_1e_minus_20_m2
0.05,1.83
0.10,1.04
0.20,0.32
0.30,0.081
0.40,0.026
0.50,0.013
0.60,0.0088
0.80,0.0065
1.0,0.0055
1.2,0.0062
1.6,0.011
2.0,0.024
2.2,0.032
2.6,0.036
3.0,0.025
3.2,0.018
3.6,0.012
4.0,0.017
4.2,0.022
4.6,0.033
5.0,0.047
5.2,0.053
5.6,0.062
6.0,0.062
6.2,0.060
6.6,0.052
7.0,0.039
7.2,0.030
7.6,0.018
8.0,0.0091
8.2,0.0066
8.6,0.0053
9.0,0.0051
9.2,0.0049
9.6,0.0051
10.0,0.0049
10.2,0.0048
10.6,0.0046
11.0,0.0045
11.2,0.0042
11.6,0.0041
11.8,0.0043
