validation_role,source_power_W,absorbed_fraction,absorbed_power_W,reduced_electric_field_Td,electron_density_m3,measured_volume_average_electron_density_m3,electron_density_percent_error,mean_electron_energy_eV,mean_energy_temperature_proxy_eV,measured_oes_electron_temperature_eV,temperature_proxy_percent_error,modeled_relative_cl2_density_percent_proxy,measured_relative_cl2_density_percent,relative_cl2_proxy_error_percentage_point,total_positive_ion_axial_flux_m2_s,cl2plus_axial_flux_m2_s,clplus_axial_flux_m2_s,clplus_ion_fraction,maximum_normalized_residual,solver_evaluations,coulomb_logarithm,coulomb_nonlinear_iterations,electron_growth_root_evaluations,supports_absorbed_power_measurement,supports_wafer_flux,supports_feature_depth
calibration_training,300.0,0.3571645074783968,107.14935224351903,1102.4901935240434,2.9008438881800636e+16,2.90084388e+16,2.819890987382223e-07,4.018926480327871,2.6792843202185805,2.299784959087595,16.50151504954387,59.48607107662173,,,3.4069749255826833e+19,2.385611010929475e+19,1.0213639146532084e+19,0.2997861554494793,3.973608957821046e-09,5,12.8962141620095,3,51,False,False,False
held_out_reactor_diagnostic_forecast,500.0,0.3571645074783968,178.5822537391984,1066.6033808638615,5.168616475106093e+16,5.22151899e+16,-1.0131633150281316,4.058430325417468,2.705620216944978,2.51225,7.697092922478976,54.27726643969717,72.9875,-18.710233560302825,5.708360397494694e+19,3.8056282033224696e+19,1.9027321941722243e+19,0.33332376754055376,2.032014016005218e-10,12,12.622084669972118,2,26,False,False,False
