absorbed_fraction_sensitivity,source_power_W,absorbed_power_W,validation_role,reduced_electric_field_Td,mean_electron_energy_eV,mean_energy_temperature_proxy_eV,measured_oes_electron_temperature_eV,temperature_proxy_percent_error,electron_density_m3,measured_volume_average_electron_density_m3,electron_density_percent_error,electronegativity,cl_to_cl2_ratio,wall_ratio_inside_direct_marker_domain,modeled_relative_cl2_density_percent_proxy,measured_relative_cl2_density_percent,relative_cl2_proxy_error_percentage_point,cl2plus_axial_flux_m2_s,clplus_axial_flux_m2_s,total_positive_ion_axial_flux_m2_s,clplus_ion_fraction,modeled_power_density_W_m3,absorbed_power_density_W_m3,maximum_normalized_residual,relative_electron_growth_closure,solver_evaluations,supports_reactor_state_prediction,supports_wafer_flux,supports_feature_depth
0.3,300.0,90.0,reactor_diagnostic_training_candidate,1448.9207318761228,4.2670067974594135,2.8446711983062754,2.299784959087595,23.692921247508977,2.0885765027137296e+16,2.90084388e+16,-28.001071787643756,2.466466367123994,0.6962026007907498,True,58.95522147730534,,,2.1968449852316676e+19,2.668875016192663e+18,2.463732486850934e+19,0.10832649366100358,2093.02325581509,2093.0232558139537,4.803420633883034e-12,1.0331626494233217e-15,6,False,False,False
0.3,500.0,150.0,held_out_reactor_diagnostic,1451.858040898288,4.274011101024202,2.8493407340161347,2.51225,13.417881740118814,3.79408720089048e+16,5.22151899e+16,-27.337481522968087,1.6310437650730762,0.8606021646506288,False,53.74604087853317,72.9875,-19.241459121466825,3.6707442475681427e+19,4.466442579003854e+18,4.117388505468528e+19,0.10847755981908747,3488.372093023224,3488.372093023256,2.285902086159533e-12,1.7663117454327955e-15,7,False,False,False
0.5,300.0,150.0,reactor_diagnostic_training_candidate,1451.8580408976509,4.274011101023336,2.8493407340155574,2.299784959087595,23.895963522867394,3.794087200893581e+16,2.90084388e+16,30.792533409056844,1.631043765072091,0.8606021646507878,False,53.74604087852858,,,3.6707442475699876e+19,4.466442579014032e+18,4.1173885054713905e+19,0.10847755981925924,3488.372093023137,3488.372093023256,1.5038683444893183e-12,2.1195740945196444e-15,10,False,False,False
0.5,500.0,250.0,held_out_reactor_diagnostic,1459.3317565740847,4.291824318530682,2.8612162123537876,2.51225,13.89058462946712,6.750334423304902e+16,5.22151899e+16,29.2791319199033,1.0729412601465125,1.0185147167979234,False,49.54137771095139,72.9875,-23.44612228904861,6.156877527037947e+19,7.521395644087571e+18,6.9090170914467045e+19,0.10886346848669669,5813.953488368714,5813.9534883720935,1.5840712327318107e-12,1.052592579516425e-15,7,False,False,False
0.7,300.0,210.0,reactor_diagnostic_training_candidate,1456.3676414032802,4.284760981894794,2.856507321263196,2.299784959087595,24.20758340799274,5.556467716607586e+16,2.90084388e+16,91.54659631691678,1.2391432609885822,0.9654042007348222,False,50.88011919513155,,,5.158883000532504e+19,6.292262527238078e+18,5.788109253256312e+19,0.10871015476596502,4883.720930232961,4883.720930232558,1.0238125949433788e-12,2.135963211878819e-15,7,False,False,False
0.7,500.0,350.0,held_out_reactor_diagnostic,1466.047659608769,4.307820753578845,2.8718805023858964,2.51225,14.315076221948317,9.777438318620965e+16,5.22151899e+16,87.25275800674557,0.8089964034204484,1.1186652537499937,False,47.19952801557587,72.9875,-25.787971984424125,8.667610188989492e+19,1.062663341533965e+19,9.730273530523458e+19,0.10921207283643515,8139.534883720098,8139.534883720931,1.5850217662046e-13,1.0463291093582072e-15,7,False,False,False
