absorbed_fraction_sensitivity,source_power_W,absorbed_power_W,validation_role,reduced_electric_field_Td,mean_electron_energy_eV,mean_energy_temperature_proxy_eV,measured_oes_electron_temperature_eV,temperature_proxy_percent_error,electron_density_m3,measured_volume_average_electron_density_m3,electron_density_percent_error,electronegativity,cl_to_cl2_ratio,wall_ratio_inside_direct_marker_domain,modeled_relative_cl2_density_percent_proxy,measured_relative_cl2_density_percent,relative_cl2_proxy_error_percentage_point,cl2plus_axial_flux_m2_s,clplus_axial_flux_m2_s,total_positive_ion_axial_flux_m2_s,clplus_ion_fraction,modeled_power_density_W_m3,absorbed_power_density_W_m3,maximum_normalized_residual,relative_electron_growth_closure,solver_evaluations,supports_reactor_state_prediction,supports_wafer_flux,supports_feature_depth
0.3,300.0,90.0,reactor_diagnostic_training_candidate,1200.932047826912,3.9887531114438786,2.6591687409625857,2.299784959087595,15.626842868716338,2.1424393037998004e+16,2.90084388e+16,-26.144274134470123,2.4158083512482236,0.6725813951457901,True,59.78782275721986,,,1.830472515588917e+19,7.826563049859355e+18,2.6131288205748527e+19,0.2995092698161592,2093.0232558144603,2093.0232558139537,1.6496930130823722e-12,2.7887813080489204e-16,6,False,False,False
0.3,500.0,150.0,held_out_reactor_diagnostic,1160.9177192869224,3.9400620455458557,2.6267080303639037,2.51225,4.555996830088717,3.9279521388801576e+16,5.22151899e+16,-24.773765136107304,1.5831768754699502,0.8331781811199283,False,54.55007103505227,72.9875,-18.437428964947728,2.9421333790861402e+19,1.4688399286979408e+19,4.4109733077840806e+19,0.33299678465654436,3488.372093023998,3488.372093023256,8.648721128577332e-13,2.8096315421340904e-15,7,False,False,False
0.5,300.0,150.0,reactor_diagnostic_training_candidate,1160.9177192864172,3.940062045544867,2.6267080303632446,2.299784959087595,14.215375658659472,3.9279521388824744e+16,2.90084388e+16,35.407222910681924,1.5831768754691178,0.8331781811201354,False,54.5500710350461,,,2.9421333790887477e+19,1.468839928696654e+19,4.410973307785402e+19,0.3329967846561529,3488.3720930229824,3488.372093023256,8.135637481262252e-14,2.9749039857934063e-15,10,False,False,False
0.5,500.0,250.0,held_out_reactor_diagnostic,1130.0035201655548,3.906113879363953,2.6040759195759686,2.51225,3.6551266623930245,7.048561267311623e+16,5.22151899e+16,34.99062783857889,1.0310616463786704,0.9881369112892007,False,50.29834687549527,72.9875,-22.689153124504728,4.760242911363688e+19,2.7053888588038156e+19,7.465631770167504e+19,0.362379091561211,5813.953488369931,5813.9534883720935,7.472642423786183e-13,3.3210858058356956e-15,7,False,False,False
0.7,300.0,210.0,reactor_diagnostic_training_candidate,1139.6769201766883,3.916301756044005,2.6108678373626697,2.299784959087595,13.526607218028428,5.785595068386213e+16,2.90084388e+16,99.44524103055876,1.1949821674556582,0.9359608080003693,False,51.653938234053825,,,4.036688606493473e+19,2.2002936489647325e+19,6.236982255458206e+19,0.3527817715112428,4883.720930234464,4883.720930232558,2.056828877729592e-12,4.7932983766844116e-15,7,False,False,False
0.7,500.0,350.0,held_out_reactor_diagnostic,1113.5508796276417,3.8899422336763867,2.5932948224509245,2.51225,3.2259855687501084,1.0261925657767046e+17,5.22151899e+16,96.5314246183953,0.7719182495139666,1.0866772102556146,False,47.92308053613628,72.9875,-25.064419463863715,6.554184570545379e+19,4.012749067814345e+19,1.0566933638359725e+20,0.3797458378320272,8139.534883714179,8139.534883720931,1.7893232407655121e-12,4.141380600201793e-15,7,False,False,False
