electron_temperature_eV,nist_hayes_atomic_cl_rate_m3_s,lennon_atomic_cl_rate_m3_s,nist_to_lennon_atomic_ratio,nist_cl2_total_ionization_rate_m3_s,lee_cl2_sum_ionization_rate_m3_s,nist_to_lee_cl2_total_ratio
2.0,5.954168529292675e-17,6.764021038504493e-17,0.880270551406967,1.0261839033598478e-16,1.4723737279803923e-16,0.6969588521301798
3.0,6.753957746928606e-16,8.045990174745756e-16,0.8394190895394703,1.0653820223246636e-15,1.2717940551359747e-15,0.83770011191848
4.0,2.3942197463482774e-15,2.9070613453370654e-15,0.8235876240412376,3.7270031238147415e-15,3.742034314119937e-15,0.9959831500613241
5.0,5.255611179332586e-15,6.427518060939487e-15,0.8176734984645678,8.19868500080696e-15,7.153576675791073e-15,1.146095914307134
