figure,etch_time_min,average_top_diameter_nm,average_bottom_diameter_nm,average_height_nm,average_top_roundness,average_bottom_roundness,average_volume_um3,height_local_rsd_percent,height_global_rsd_percent
3.3,15,151,215,652,0.97,0.98,0.017,0.6,1.4
S3.4,8,149,187,273,0.98,0.99,0.006,1.3,3.1
