step=72 t=33.753s dt=0.4759s depth=218.684nm mask_opening=53.280nm wall=40.13s
step=73 t=34.227s dt=0.4742s depth=221.573nm mask_opening=52.990nm wall=38.25s
step=74 t=34.702s dt=0.4747s depth=224.212nm mask_opening=52.708nm wall=40.17s
step=75 t=35.176s dt=0.4747s depth=227.014nm mask_opening=52.419nm wall=42.24s
step=76 t=35.652s dt=0.4755s depth=230.056nm mask_opening=52.133nm wall=40.64s
step=77 t=36.129s dt=0.4767s depth=232.693nm mask_opening=51.828nm wall=46.34s
step=78 t=36.604s dt=0.4758s depth=235.405nm mask_opening=51.419nm wall=42.85s
step=79 t=37.081s dt=0.4762s depth=238.275nm mask_opening=50.915nm wall=42.04s
step=80 t=37.559s dt=0.4785s depth=241.199nm mask_opening=50.264nm wall=45.22s
step=81 t=38.039s dt=0.4799s depth=243.782nm mask_opening=49.644nm wall=49.12s
step=82 t=38.520s dt=0.481s depth=246.517nm mask_opening=49.610nm wall=50.99s
step=83 t=39.002s dt=0.4818s depth=249.528nm mask_opening=50.342nm wall=50.40s
step=84 t=39.481s dt=0.4796s depth=252.293nm mask_opening=49.967nm wall=45.77s
step=85 t=39.961s dt=0.4798s depth=254.913nm mask_opening=49.592nm wall=44.42s
step=86 t=40.440s dt=0.4784s depth=257.710nm mask_opening=49.219nm wall=45.24s
step=87 t=40.922s dt=0.4827s depth=260.661nm mask_opening=48.748nm wall=48.48s
step=88 t=41.408s dt=0.486s depth=263.219nm mask_opening=48.199nm wall=48.02s
step=89 t=41.896s dt=0.4879s depth=265.893nm mask_opening=47.647nm wall=48.37s
step=90 t=42.384s dt=0.4875s depth=268.778nm mask_opening=47.096nm wall=48.53s
step=91 t=42.873s dt=0.4889s depth=271.619nm mask_opening=46.542nm wall=52.38s
step=92 t=43.364s dt=0.4916s depth=274.122nm mask_opening=45.984nm wall=52.61s
step=93 t=43.856s dt=0.4918s depth=276.828nm mask_opening=45.426nm wall=49.54s
step=94 t=44.350s dt=0.494s depth=279.835nm mask_opening=44.866nm wall=50.22s
step=95 t=44.849s dt=0.4986s depth=282.528nm mask_opening=44.303nm wall=48.48s
step=96 t=45.347s dt=0.4986s depth=285.103nm mask_opening=43.739nm wall=47.17s
step=97 t=45.848s dt=0.5007s depth=287.904nm mask_opening=43.171nm wall=43.77s
step=98 t=46.349s dt=0.501s depth=290.818nm mask_opening=42.598nm wall=49.71s
step=99 t=46.852s dt=0.503s depth=293.195nm mask_opening=42.022nm wall=49.05s
step=100 t=47.357s dt=0.5053s depth=295.770nm mask_opening=42.370nm wall=45.50s
step=101 t=47.866s dt=0.5086s depth=298.669nm mask_opening=42.720nm wall=44.16s
step=102 t=48.367s dt=0.5014s depth=301.454nm mask_opening=43.369nm wall=45.42s
step=103 t=48.866s dt=0.4991s depth=303.727nm mask_opening=43.083nm wall=46.81s
step=104 t=49.364s dt=0.4979s depth=306.268nm mask_opening=42.931nm wall=47.34s
step=105 t=49.867s dt=0.5024s depth=309.188nm mask_opening=42.828nm wall=49.50s
step=106 t=50.370s dt=0.5031s depth=311.828nm mask_opening=42.702nm wall=51.04s
step=107 t=50.873s dt=0.503s depth=314.182nm mask_opening=42.551nm wall=54.98s
step=108 t=51.373s dt=0.5005s depth=316.771nm mask_opening=42.372nm wall=52.87s
step=109 t=51.873s dt=0.4994s depth=319.779nm mask_opening=42.166nm wall=51.84s
step=110 t=52.368s dt=0.4956s depth=322.161nm mask_opening=41.938nm wall=53.56s
step=111 t=52.865s dt=0.4968s depth=324.444nm mask_opening=41.692nm wall=58.10s
step=112 t=53.369s dt=0.5038s depth=326.999nm mask_opening=41.427nm wall=55.18s
step=113 t=53.873s dt=0.5042s depth=330.033nm mask_opening=41.146nm wall=52.55s
step=114 t=54.379s dt=0.5054s depth=332.295nm mask_opening=40.851nm wall=50.25s
step=115 t=54.919s dt=0.5403s depth=334.820nm mask_opening=40.532nm wall=56.17s
step=116 t=55.427s dt=0.508s depth=337.349nm mask_opening=40.222nm wall=53.39s
step=117 t=55.935s dt=0.5083s depth=340.301nm mask_opening=39.906nm wall=49.07s
step=118 t=56.445s dt=0.5097s depth=342.535nm mask_opening=39.580nm wall=50.24s
step=119 t=56.966s dt=0.5213s depth=344.903nm mask_opening=39.240nm wall=54.64s
step=120 t=57.475s dt=0.5091s depth=347.378nm mask_opening=38.901nm wall=53.44s
step=121 t=57.990s dt=0.5144s depth=350.349nm mask_opening=38.555nm wall=53.52s
step=122 t=58.507s dt=0.5177s depth=352.336nm mask_opening=38.203nm wall=49.34s
step=123 t=59.036s dt=0.529s depth=354.511nm mask_opening=37.840nm wall=48.81s
step=124 t=59.563s dt=0.5263s depth=356.875nm mask_opening=37.472nm wall=48.28s
step=125 t=60.000s dt=0.4373s depth=359.219nm mask_opening=37.116nm wall=39.86s
