step=72 t=35.127s dt=0.4872s depth=225.646nm mask_opening=63.253nm wall=39.75s
step=73 t=35.614s dt=0.4875s depth=228.653nm mask_opening=63.059nm wall=41.25s
step=74 t=36.101s dt=0.4872s depth=231.664nm mask_opening=62.950nm wall=41.31s
step=75 t=36.588s dt=0.4873s depth=234.487nm mask_opening=62.780nm wall=41.95s
step=76 t=37.076s dt=0.4878s depth=237.414nm mask_opening=62.626nm wall=39.92s
step=77 t=37.564s dt=0.4878s depth=240.470nm mask_opening=62.531nm wall=38.58s
step=78 t=38.052s dt=0.4878s depth=243.258nm mask_opening=62.393nm wall=40.36s
step=79 t=38.540s dt=0.4878s depth=246.116nm mask_opening=62.240nm wall=40.32s
step=80 t=39.027s dt=0.4878s depth=249.117nm mask_opening=62.128nm wall=39.56s
step=81 t=39.515s dt=0.4879s depth=252.061nm mask_opening=61.963nm wall=38.15s
step=82 t=40.003s dt=0.4876s depth=254.836nm mask_opening=61.844nm wall=37.22s
step=83 t=40.491s dt=0.4878s depth=257.738nm mask_opening=61.675nm wall=37.07s
step=84 t=40.979s dt=0.4884s depth=260.766nm mask_opening=61.472nm wall=39.55s
step=85 t=41.467s dt=0.4874s depth=263.487nm mask_opening=61.277nm wall=42.70s
step=86 t=41.954s dt=0.4874s depth=266.314nm mask_opening=61.078nm wall=41.29s
step=87 t=42.441s dt=0.4871s depth=269.316nm mask_opening=60.885nm wall=39.21s
step=88 t=42.928s dt=0.487s depth=272.210nm mask_opening=60.690nm wall=38.16s
step=89 t=43.415s dt=0.487s depth=274.943nm mask_opening=60.491nm wall=39.77s
step=90 t=43.901s dt=0.4859s depth=277.810nm mask_opening=60.281nm wall=40.53s
step=91 t=44.387s dt=0.4857s depth=280.811nm mask_opening=60.061nm wall=39.98s
step=92 t=44.872s dt=0.4852s depth=283.434nm mask_opening=59.834nm wall=40.23s
step=93 t=45.357s dt=0.4853s depth=286.193nm mask_opening=59.598nm wall=38.39s
step=94 t=45.844s dt=0.4867s depth=289.165nm mask_opening=59.346nm wall=37.40s
step=95 t=46.331s dt=0.4874s depth=292.036nm mask_opening=59.077nm wall=39.29s
step=96 t=46.820s dt=0.4888s depth=294.716nm mask_opening=58.793nm wall=41.68s
step=97 t=47.310s dt=0.4898s depth=297.547nm mask_opening=58.482nm wall=44.76s
step=98 t=47.800s dt=0.4903s depth=300.550nm mask_opening=58.153nm wall=44.56s
step=99 t=48.290s dt=0.4904s depth=303.150nm mask_opening=57.804nm wall=43.20s
step=100 t=48.780s dt=0.4897s depth=305.863nm mask_opening=57.433nm wall=40.36s
step=101 t=49.272s dt=0.492s depth=308.762nm mask_opening=57.041nm wall=40.31s
step=102 t=49.765s dt=0.493s depth=311.623nm mask_opening=56.624nm wall=41.32s
step=103 t=50.260s dt=0.4947s depth=314.237nm mask_opening=56.181nm wall=40.94s
step=104 t=50.756s dt=0.4964s depth=317.015nm mask_opening=55.719nm wall=38.56s
step=105 t=51.253s dt=0.4971s depth=320.040nm mask_opening=55.217nm wall=41.69s
step=106 t=51.753s dt=0.4999s depth=322.578nm mask_opening=54.665nm wall=41.11s
step=107 t=52.270s dt=0.5172s depth=325.342nm mask_opening=54.029nm wall=39.64s
step=108 t=52.777s dt=0.5063s depth=328.184nm mask_opening=53.309nm wall=39.87s
step=109 t=53.287s dt=0.5105s depth=331.116nm mask_opening=52.427nm wall=38.65s
step=110 t=53.798s dt=0.5103s depth=333.709nm mask_opening=51.305nm wall=38.66s
step=111 t=54.307s dt=0.5098s depth=336.420nm mask_opening=49.916nm wall=38.17s
step=112 t=54.819s dt=0.5111s depth=339.398nm mask_opening=49.939nm wall=38.17s
step=113 t=55.331s dt=0.5121s depth=342.158nm mask_opening=49.964nm wall=37.73s
step=114 t=55.844s dt=0.5131s depth=344.764nm mask_opening=49.991nm wall=38.16s
step=115 t=56.356s dt=0.5121s depth=347.571nm mask_opening=49.665nm wall=41.86s
step=116 t=56.868s dt=0.5123s depth=350.541nm mask_opening=49.706nm wall=43.31s
step=117 t=57.381s dt=0.5131s depth=353.000nm mask_opening=49.402nm wall=40.48s
step=118 t=57.895s dt=0.5139s depth=355.635nm mask_opening=49.445nm wall=38.08s
step=119 t=58.410s dt=0.5146s depth=358.530nm mask_opening=49.486nm wall=40.12s
step=120 t=58.925s dt=0.515s depth=361.358nm mask_opening=49.524nm wall=39.90s
step=121 t=59.440s dt=0.5151s depth=363.736nm mask_opening=49.562nm wall=37.54s
step=122 t=59.955s dt=0.5155s depth=366.371nm mask_opening=49.600nm wall=41.61s
step=123 t=60.000s dt=0.04472s depth=366.588nm mask_opening=49.603nm wall=13.71s
