cells,old_faces,new_faces,rms_sigma_error_c_m2,observed_order,relative_charge_balance_error
4,32,128,6.788645984997737e-08,,2.1175823681357513e-16
8,128,512,3.1155272398393666e-08,1.1236475226746352,6.352747104407253e-16
16,512,2048,1.3519631873121917e-08,1.2044204618810288,1.2705494208814503e-15
32,2048,8192,5.9365977561136676e-09,1.1873475995542637,1.4823076576950254e-15
