experiment_key,lot_number,wafer_number,X,Y,preox_thickness,postox_thickness,postox_thickness_nan,stepheight,oxide_etch,si_etch
2024-08-21_01,9,1,-38000,19000,1.000806029,0.3066,0.3066,41.5684,0.694206029,41.2618
2024-08-21_01,9,1,-19000,19000,1.001697738,0.2789,0.2789,41.8989,0.722797738,41.62
2024-08-21_01,9,1,0,19000,1.002250693,0.2701,0.2701,41.9964,0.732150693,41.7263
2024-08-21_01,9,1,19000,19000,1.002220229,0.2833,0.2833,41.795,0.718920229,41.5117
2024-08-21_01,9,1,38000,19000,1.00228338,0.3151,0.3151,41.4114,0.68718338,41.0963
2024-08-21_01,9,1,57000,19000,1.002390609,0.3641,0.3641,41.3429,0.638290609,40.9788
2024-08-21_01,9,1,76000,19000,1.002210215,0.2061,0.2061,42.9747,0.796110215,42.7686
2024-08-21_01,9,1,95000,19000,1.001831114,0.2953,0.2953,51.5425,0.706531114,51.2472
2024-08-21_01,9,1,-76000,38000,0.998103297,0.2071,0.2071,44.9816,0.791003297,44.7745
2024-08-21_01,9,1,-57000,38000,0.998783879,0.3668,0.3668,41.6785,0.631983879,41.3117
2024-08-21_01,9,1,-38000,38000,0.999852894,0.3241,0.3241,41.1526,0.675752894,40.8285
2024-08-21_01,9,1,-19000,38000,1.000759243,0.2983,0.2983,41.2558,0.702459243,40.9575
2024-08-21_01,9,1,0,38000,1.001305258,0.2899,0.2899,41.3188,0.711405258,41.0289
2024-08-21_01,9,1,19000,38000,1.001742347,0.3031,0.3031,41.2165,0.698642347,40.9134
2024-08-21_01,9,1,38000,38000,1.002300897,0.3335,0.3335,41.0423,0.668800897,40.7088
2024-08-21_01,9,1,57000,38000,1.002874363,0.3805,0.3805,41.4884,0.622374363,41.1079
2024-08-21_01,9,1,76000,38000,1.00319847,0.21,0.21,44.5083,0.79319847,44.2983
2024-08-21_01,9,1,-76000,57000,0.9969,0.2873,0.2873,50.7307,0.7096,50.4434
2024-08-21_01,9,1,-57000,57000,0.997766235,0.4006,0.4006,43.2458,0.597166235,42.8452
2024-08-21_01,9,1,-38000,57000,0.998969502,0.3574,0.3574,41.3461,0.641569502,40.9887
2024-08-21_01,9,1,-19000,57000,1.000138212,0.3324,0.3324,40.9294,0.667738212,40.597
2024-08-21_01,9,1,0,57000,1.000549152,0.3243,0.3243,40.8398,0.676249152,40.5155
2024-08-21_01,9,1,19000,57000,1.001253739,0.337,0.337,40.8603,0.664253739,40.5233
2024-08-21_01,9,1,38000,57000,1.00248406,0.3663,0.3663,41.2133,0.63618406,40.847
2024-08-21_01,9,1,57000,57000,1.003414239,0.4132,0.4132,42.9348,0.590214239,42.5216
2024-08-21_01,9,1,76000,57000,1.004,0.2915,0.2915,50.0166,0.7125,49.7251
2024-08-21_01,9,1,-57000,76000,0.9969,0.277,0.277,50.2469,0.7199,49.9699
2024-08-21_01,9,1,-38000,76000,0.998444764,0.4089,0.4089,44.2338,0.589544764,43.8249
2024-08-21_01,9,1,-19000,76000,0.999979691,0.3822,0.3822,42.3253,0.617779691,41.9431
2024-08-21_01,9,1,0,76000,1.0001,0.3735,0.3735,41.8492,0.6266,41.4757
2024-08-21_01,9,1,19000,76000,1.000815153,0.3861,0.3861,42.2442,0.614715153,41.8581
2024-08-21_01,9,1,38000,76000,1.002678905,0.4162,0.4162,43.9729,0.586478905,43.5567
2024-08-21_01,9,1,57000,76000,1.004,0.2803,0.2803,49.6736,0.7237,49.3933
2024-08-21_01,9,1,-19000,95000,1.000016193,0.21,0.21,49.046,0.790016193,48.836
2024-08-21_01,9,1,0,95000,1.0001,0.21,0.21,49.5656,0.7901,49.3556
2024-08-21_01,9,1,19000,95000,1.000670205,0.2089,0.2089,49.5521,0.791770205,49.3432
2024-08-21_02,9,2,-19000,-95000,1.004547749,0.3065,0.3065,52.8769,0.698047749,52.5704
2024-08-21_02,9,2,0,-95000,1.0055,0.322,0.322,52.6084,0.6835,52.2864
2024-08-21_02,9,2,19000,-95000,1.004298022,0.3154,0.3154,52.9554,0.688898022,52.64
2024-08-21_02,9,2,-57000,-76000,1.0044,0.3281,0.3281,52.5688,0.6763,52.2407
2024-08-21_02,9,2,-38000,-76000,1.003935901,0.285,0.285,46.8051,0.718935901,46.5201
2024-08-21_02,9,2,-19000,-76000,1.003958835,0.2089,0.2089,45.0035,0.795058835,44.7946
2024-08-21_02,9,2,0,-76000,1.004291837,0.2091,0.2091,44.5648,0.795191837,44.3557
2024-08-21_02,9,2,19000,-76000,1.003511784,0.2625,0.2625,44.9183,0.741011784,44.6558
2024-08-21_02,9,2,38000,-76000,1.002676781,0.284,0.284,46.5887,0.718676781,46.3047
2024-08-21_02,9,2,57000,-76000,1.0024,0.3154,0.3154,52.2101,0.687,51.8947
2024-08-21_02,9,2,-76000,-57000,1.0044,0.3168,0.3168,52.3139,0.6876,51.9971
2024-08-21_02,9,2,-57000,-57000,1.003886761,0.2662,0.2662,45.1654,0.737686761,44.8992
2024-08-21_02,9,2,-38000,-57000,1.003475356,0.4087,0.4087,43.3611,0.594775356,42.9524
2024-08-21_02,9,2,-19000,-57000,1.003220901,0.3831,0.3831,42.9347,0.620120901,42.5516
2024-08-21_02,9,2,0,-57000,1.003103292,0.375,0.375,42.8549,0.628103292,42.4799
2024-08-21_02,9,2,19000,-57000,1.002773396,0.3844,0.3844,42.8647,0.618373396,42.4803
2024-08-21_02,9,2,38000,-57000,1.002515151,0.4107,0.4107,43.2023,0.591815151,42.7916
2024-08-21_02,9,2,57000,-57000,1.002428161,0.2657,0.2657,44.881,0.736728161,44.6153
2024-08-21_02,9,2,76000,-57000,1.0024,0.3112,0.3112,51.8533,0.6912,51.5421
2024-08-21_02,9,2,-76000,-38000,1.003094076,0.2751,0.2751,46.1415,0.727994076,45.8664
2024-08-21_02,9,2,-57000,-38000,1.002946119,0.4018,0.4018,42.9731,0.601146119,42.5713
2024-08-21_02,9,2,-38000,-38000,1.002715464,0.3595,0.3595,42.4759,0.643215464,42.1164
2024-08-21_02,9,2,-19000,-38000,1.002619423,0.3325,0.3325,42.5728,0.670119423,42.2403
2024-08-21_02,9,2,0,-38000,1.0025762,0.3227,0.3227,42.6553,0.6798762,42.3326
2024-08-21_02,9,2,19000,-38000,1.002477245,0.3344,0.3344,42.5234,0.668077245,42.189
2024-08-21_02,9,2,38000,-38000,1.0024,0.3626,0.3626,42.3484,0.6398,41.9858
2024-08-21_02,9,2,57000,-38000,1.00237421,0.4052,0.4052,42.7729,0.59717421,42.3677
2024-08-21_02,9,2,76000,-38000,1.002296667,0.277,0.277,45.7697,0.725296667,45.4927
2024-08-21_02,9,2,-95000,-19000,0.999400438,0.2971,0.2971,51.5995,0.702300438,51.3024
2024-08-21_02,9,2,-76000,-19000,1.000563578,0.2052,0.2052,43.9621,0.795363578,43.7569
2024-08-21_02,9,2,-57000,-19000,1.001537067,0.3688,0.3688,42.207,0.632737067,41.8382
2024-08-21_02,9,2,-38000,-19000,1.001951888,0.3239,0.3239,42.2498,0.678051888,41.9259
2024-08-21_02,9,2,-19000,-19000,1.002241792,0.2956,0.2956,42.5886,0.706641792,42.293
2024-08-21_02,9,2,0,-19000,1.002408654,0.285,0.285,42.7337,0.717408654,42.4487
2024-08-21_02,9,2,19000,-19000,1.002385326,0.298,0.298,42.5266,0.704385326,42.2286
2024-08-21_02,9,2,38000,-19000,1.002361322,0.3279,0.3279,42.1291,0.674461322,41.8012
2024-08-21_02,9,2,57000,-19000,1.002261717,0.3752,0.3752,42.0268,0.627061717,41.6516
2024-08-21_02,9,2,76000,-19000,1.001920441,0.2093,0.2093,43.6537,0.792620441,43.4444
2024-08-21_02,9,2,95000,-19000,1.001505413,0.3,0.3,51.9311,0.701505413,51.6311
2024-08-21_02,9,2,-95000,0,0.9977,0.3014,0.3014,51.5012,0.6963,51.1998
2024-08-21_02,9,2,-76000,0,0.999033557,0.4105,0.4105,43.2114,0.588533557,42.8009
2024-08-21_02,9,2,-57000,0,1.000465459,0.3519,0.3519,41.8339,0.648565459,41.482
2024-08-21_02,9,2,-38000,0,1.001325505,0.307,0.307,42.0161,0.694325505,41.7091
2024-08-21_02,9,2,-19000,0,1.002100757,0.2772,0.2772,42.4394,0.724900757,42.1622
2024-08-21_02,9,2,0,0,1.0026,0.2642,0.2642,42.6303,0.7384,42.3661
2024-08-21_02,9,2,19000,0,1.002351413,0.2804,0.2804,42.3835,0.721951413,42.1031
2024-08-21_02,9,2,38000,0,1.002297851,0.3126,0.3126,41.8923,0.689697851,41.5797
2024-08-21_02,9,2,57000,0,1.002215379,0.3599,0.3599,41.6606,0.642315379,41.3007
2024-08-21_02,9,2,76000,0,1.001612948,0.4191,0.4191,42.9431,0.582512948,42.524
2024-08-21_02,9,2,95000,0,1.0008,0.2995,0.2995,50.9601,0.7013,50.6606
2024-08-21_02,9,2,-95000,19000,0.998474955,0.2878,0.2878,50.8828,0.710674955,50.595
2024-08-21_02,9,2,-76000,19000,0.998912063,0.4101,0.4101,43.3824,0.588812063,42.9723
2024-08-21_02,9,2,-57000,19000,0.999687234,0.351,0.351,41.6136,0.648687234,41.2626
2024-08-21_02,9,2,-38000,19000,1.00059404,0.3067,0.3067,41.6549,0.69389404,41.3482
2024-08-21_02,9,2,-19000,19000,1.001492538,0.279,0.279,41.9899,0.722492538,41.7109
2024-08-21_02,9,2,0,19000,1.002047189,0.2699,0.2699,42.1399,0.732147189,41.87
2024-08-21_02,9,2,19000,19000,1.002122004,0.2825,0.2825,41.9151,0.719622004,41.6326
2024-08-21_02,9,2,38000,19000,1.002356441,0.3131,0.3131,41.5203,0.689256441,41.2072
2024-08-21_02,9,2,57000,19000,1.002592733,0.3604,0.3604,41.4353,0.642192733,41.0749
2024-08-21_02,9,2,76000,19000,1.002350042,0.4196,0.4196,43.0791,0.582750042,42.6595
2024-08-21_02,9,2,95000,19000,1.001766951,0.2915,0.2915,51.3349,0.710266951,51.0434
2024-08-21_02,9,2,-76000,38000,0.99793604,0.208,0.208,45.0055,0.78993604,44.7975
2024-08-21_02,9,2,-57000,38000,0.998612498,0.367,0.367,41.7688,0.631612498,41.4018
2024-08-21_02,9,2,-38000,38000,0.999672052,0.324,0.324,41.2582,0.675672052,40.9342
2024-08-21_02,9,2,-19000,38000,1.000577925,0.2982,0.2982,41.3459,0.702377925,41.0477
2024-08-21_02,9,2,0,38000,1.001167217,0.2896,0.2896,41.438,0.711567217,41.1484
2024-08-21_02,9,2,19000,38000,1.00176148,0.3018,0.3018,41.2812,0.69996148,40.9794
2024-08-21_02,9,2,38000,38000,1.002614616,0.3311,0.3311,41.1137,0.671514616,40.7826
2024-08-21_02,9,2,57000,38000,1.003527694,0.3766,0.3766,41.5605,0.626927694,41.1839
2024-08-21_02,9,2,76000,38000,1.004056447,0.211,0.211,44.6317,0.793056447,44.4207
2024-08-21_02,9,2,-76000,57000,0.9968,0.2913,0.2913,50.6373,0.7055,50.346
2024-08-21_02,9,2,-57000,57000,0.997637519,0.4012,0.4012,43.3178,0.596437519,42.9166
2024-08-21_02,9,2,-38000,57000,0.998799887,0.3567,0.3567,41.445,0.642099887,41.0883
2024-08-21_02,9,2,-19000,57000,0.999896488,0.3316,0.3316,41.0163,0.668296488,40.6847
2024-08-21_02,9,2,0,57000,1.000277827,0.3233,0.3233,40.9363,0.676977827,40.613
2024-08-21_02,9,2,19000,57000,1.001243872,0.3351,0.3351,40.9482,0.666143872,40.6131
2024-08-21_02,9,2,38000,57000,1.003045184,0.3635,0.3635,41.3004,0.639545184,40.9369
2024-08-21_02,9,2,57000,57000,1.004466101,0.4091,0.4091,43.0075,0.595366101,42.5984
2024-08-21_02,9,2,76000,57000,1.0054,0.2882,0.2882,50.1383,0.7172,49.8501
