phase,phase_time_s,physical_time_s,components,void_points,active_points
initial,0,0,2,0,283
coat,0.0625,0.0625,2,0,304
coat,0.125,0.125,2,0,306
coat,0.1875,0.1875,2,0,298
coat,0.25,0.25,2,0,298
coat,0.3125,0.3125,2,0,298
coat,0.375,0.375,2,0,298
coat,0.4375,0.4375,2,0,298
coat,0.5,0.5,2,0,274
coat,0.5625,0.5625,2,0,290
coat,0.625,0.625,2,0,294
coat,0.6875,0.6875,2,0,294
coat,0.75,0.75,2,0,294
coat,0.8125,0.8125,2,0,290
coat,0.875,0.875,2,0,290
coat,0.9375,0.9375,2,0,290
coat,1,1,2,0,274
coat,1.0625,1.0625,2,0,294
coat,1.125,1.125,2,0,294
coat,1.1875,1.1875,2,0,290
coat,1.25,1.25,2,0,290
coat,1.3125,1.3125,2,0,290
coat,1.375,1.375,2,0,290
coat,1.4375,1.4375,2,0,294
coat,1.5,1.5,2,0,270
coat,1.5625,1.5625,2,0,269
coat,1.625,1.625,2,0,272
coat,1.6875,1.6875,2,0,271
coat,1.75,1.75,2,0,271
coat,1.8125,1.8125,2,0,275
coat,1.875,1.875,2,0,266
coat,1.9375,1.9375,3,119,220
sealed_reference,0,0,3,185,283
etch,0.0625,0.0625,3,200,298
etch,0.125,0.125,3,206,304
etch,0.1875,0.1875,3,206,304
etch,0.25,0.25,3,192,241
etch,0.3125,0.3125,3,212,310
etch,0.375,0.375,3,212,310
etch,0.4375,0.4375,3,212,310
etch,0.5,0.5,3,209,258
etch,0.5625,0.5625,3,216,314
etch,0.625,0.625,3,218,316
etch,0.6875,0.6875,3,228,326
etch,0.75,0.75,3,214,263
etch,0.8125,0.8125,3,219,317
etch,0.875,0.875,3,223,321
etch,0.9375,0.9375,3,223,321
etch,1,1,2,0,248
