low_frequency_power_kw,energy_eV,signed_angle_deg,probability_weight
0.0,492.6108374384236,-4.363636363636363,0.0001310384983624693
0.0,488.5258707593667,-4.136140812864466,0.00017557870516886727
0.0,485.0562064938428,-3.904928393771236,0.00042816330900942695
0.0,483.1896405927631,-3.6265105370169723,0.0006077438547844226
0.0,482.1757366799468,-3.3583144587733402,0.0007344958853404059
0.0,482.638217901925,-3.1345181950777143,0.0005788691771569478
0.0,483.0275065299939,-2.9032954284306816,0.0010586074784464743
0.0,481.00473629154135,-2.6298997824158286,0.0016275406429952946
0.0,481.0360107181643,-2.3613232032753455,0.002036676052249867
0.0,481.4669822389559,-2.1360023310931697,0.001794532848301039
0.0,480.4429313852696,-1.9039506534266928,0.0033435865392364267
0.0,480.2446272964094,-1.6312451721024805,0.004658569522189536
0.0,482.16800336298104,-1.3533558811583137,0.008195415205124302
0.0,481.1901675342606,-1.1318012666882957,0.0064099906635529886
0.0,480.7890858843463,-0.903861145332479,0.012546942453279222
0.0,480.95294626294395,-0.6344925922427711,0.017407115028233167
0.0,480.8568766170913,-0.3644004756461588,0.024408668142532907
0.0,480.2596581582721,-0.13658952214710898,0.016034140624737223
0.0,480.24603322607214,0.09090909090909091,0.023936253476140444
0.0,480.91092350055703,0.3633672584806877,0.024968545212529485
0.0,481.2864911067544,0.6380196817694151,0.017363720603321885
0.0,480.33935677679983,0.861792272871538,0.008335522539701188
0.0,481.45018397420796,1.0808760738563394,0.010828231127252905
0.0,482.4277810027699,1.3600546746717697,0.007423008526073336
0.0,480.4459265906791,1.6302776337366014,0.004605386631368709
0.0,480.70975550384384,1.8632214462502168,0.002429267092984011
0.0,481.053318995631,2.0798115672416833,0.0025750221897364724
0.0,481.3023058314687,2.3605819808092554,0.0019507246386491661
0.0,481.6676441893867,2.6268947634875643,0.0015342879560924223
0.0,482.7484008317859,2.85969343595007,0.0007014270328488322
0.0,482.59793017380804,3.0860326729192797,0.0008800781049345268
0.0,482.1581027676644,3.3589927918549813,0.0007287203117115238
0.0,484.2811535983394,3.623900106833623,0.0005433889455972402
0.0,485.10208147727036,3.861950454452385,0.000287499827467427
0.0,488.53253486480105,4.090612477587929,0.00026379841142942166
0.0,492.6108374384236,4.363636363636364,0.0001310384983624693
0.0,517.2413793103449,-4.863636363636363,8.735899890831288e-05
0.0,518.8931984660213,-4.6127229524167985,0.0005105217358865716
0.0,519.8045372922489,-4.354171692481072,0.0008193365974764847
0.0,523.5346036932094,-4.134765210894734,0.0007565516816246423
0.0,523.0202901773861,-3.9058680668473564,0.001347755251478347
0.0,524.9992042320646,-3.6297684466913416,0.001677150374277736
0.0,525.0867950414573,-3.3588516185200907,0.0021547837754922463
0.0,524.2228500356327,-3.133377937331572,0.0018612193033535856
0.0,525.0812876949793,-2.9041184906911472,0.0035673535338438733
0.0,528.1860616308032,-2.6343629922944514,0.0042650732286479325
0.0,527.4064150499113,-2.356548473054536,0.006713416023544456
0.0,527.9957561178819,-2.1346080673687706,0.0053989313360970174
0.0,526.8416848781616,-1.8940306821222541,0.013028833772498959
0.0,526.491376069002,-1.6317101281831325,0.01982367892729809
0.0,529.3065344035169,-1.3577889965724814,0.026122519833965824
0.0,527.670214781779,-1.1357440342791254,0.023996006048536547
0.0,528.7679552747593,-0.9048712348781044,0.050263149021544655
0.0,528.8511714645778,-0.6308266599749299,0.06738019011075995
0.0,530.3956029786353,-0.36092087616600355,0.08848437403651131
0.0,531.3658943439922,-0.1367510836369296,0.06443852292092249
0.0,531.39286367376,0.09130618381584354,0.09625432991956702
0.0,529.9292903197029,0.3606014189600659,0.0865150833912118
0.0,529.6714752948025,0.6294848783682994,0.06516813976176673
0.0,529.3385614986582,0.8603139073958727,0.033588800464504465
0.0,527.99874349004,1.0842743146381582,0.03901776783021326
0.0,529.175009004137,1.3583822014018772,0.02589316947884802
0.0,526.0240725434048,1.6330167489668719,0.019687801325635114
