electron_energy_eV,cross_section_m2,source_printed_cross_section_1e_minus_20_m2,evidence_class
10,1.55e-19,15.5,suggested_calculated_momentum_transfer
15,1.24e-19,12.4,suggested_calculated_momentum_transfer
20,1.14e-19,11.4,suggested_calculated_momentum_transfer
25,1.05e-19,10.5,suggested_calculated_momentum_transfer
30,1.01e-19,10.1,suggested_calculated_momentum_transfer
