variant,step,physical_time_s,rms_relative_current_imbalance_face,max_relative_current_imbalance_face,active_face_count,rms_relative_current_imbalance_node,max_relative_current_imbalance_node,active_node_count,minimum_potential_v,maximum_potential_v,mean_potential_v,total_stored_charge_c
coarse,0,0.0,0.5355383167905315,1.0,176,0.31995069381135427,0.8740338531843946,135,-13.214625891573261,44.21017943678636,12.996754811885646,-8.306872482463447e-17
coarse,1,1.25e-07,0.5342860362066872,1.0,176,0.3193019109203051,0.8738309597758837,135,-13.215261899784656,44.20036164818777,12.99504817294118,-8.308894154615383e-17
coarse,2,2.5e-07,0.5314386023463119,1.0,176,0.31610916949475826,0.8737271132847385,135,-13.213334373829198,44.19328527831965,12.995681814466742,-8.30898876769757e-17
coarse,3,3.75e-07,0.5314514095492557,1.0,176,0.31475900390705847,0.8736187186507867,135,-13.213615298950721,44.18284542103648,12.993942310171995,-8.310681597756112e-17
coarse,4,5e-07,0.5312029294744172,1.0,176,0.31466880257432867,0.8733866837647696,135,-13.216448129461668,44.16852337733324,12.989183348496324,-8.314126396052245e-17
coarse,5,6.249999999999999e-07,0.5300784644682884,1.0,176,0.3136650374870107,0.8732041054551972,135,-13.216093649283001,44.15760370699795,12.987198330672005,-8.31502833142606e-17
coarse,6,7.5e-07,0.5293418884626304,1.0,176,0.3139204991149729,0.8731844803363941,135,-13.210551764885688,44.15401076985987,12.990584945840707,-8.311926072848523e-17
coarse,7,8.75e-07,0.5304184377191529,1.0,176,0.31601381400683226,0.8731121873899994,135,-13.211931683655173,44.14082543461768,12.986940915341647,-8.313946788332725e-17
coarse,8,1e-06,0.5290291443625713,1.0,176,0.31680269249268805,0.8731181146963113,135,-13.208047534714341,44.136286222529854,12.988728824413604,-8.311680862106827e-17
coarse,9,1.125e-06,0.5258162953987511,1.0,176,0.3194324499138442,0.8732195651742781,135,-13.203405317100348,44.13369188978775,12.991357228550777,-8.308669093778245e-17
coarse,10,1.2499999999999999e-06,0.5275040937246066,1.0,176,0.31982000195159044,0.8733629499293988,135,-13.19876340460525,44.131943993701185,12.994145786866152,-8.305575945829314e-17
coarse,11,1.375e-06,0.5270149466824068,1.0,176,0.32006549516673094,0.8731325781497318,135,-13.201339761613868,44.11968201870784,12.989315771466721,-8.307951045198552e-17
coarse,12,1.5e-06,0.5277176688792402,1.0,176,0.3191478048806425,0.8732944553873434,135,-13.193949146010086,44.12122078194684,12.994727855412505,-8.302763289507584e-17
coarse,13,1.625e-06,0.5273328689064959,1.0,176,0.3191854518582379,0.873127403805911,135,-13.196861131043455,44.10817852798505,12.988597173237967,-8.30585333612124e-17
coarse,14,1.75e-06,0.5239008376653825,1.0,176,0.3150255357976509,0.8730047085008615,135,-13.19928432215314,44.095579821452795,12.982452749637858,-8.308328158070521e-17
coarse,15,1.8749999999999998e-06,0.5257691493605141,1.0,176,0.31223859269406345,0.8730936025119338,135,-13.196890060158905,44.08820876662581,12.980727406434383,-8.307372818963781e-17
coarse,16,2e-06,0.5255860491582787,1.0,176,0.31297687775082117,0.8730849954816131,135,-13.195223059266974,44.080012986398714,12.97833613104559,-8.306816215977908e-17
coarse,17,2.125e-06,0.5242896533967268,1.0,176,0.31171177878232054,0.8731584585141277,135,-13.184867757056931,44.083671423033664,12.985094895513603,-8.299886336946353e-17
coarse,18,2.25e-06,0.5240296299228661,1.0,176,0.31099694029281816,0.8732704057041977,135,-13.177572557059504,44.08427958839622,12.98913505978363,-8.295511851973403e-17
coarse,19,2.3749999999999997e-06,0.5245123928301139,1.0,176,0.31062258254560193,0.8732838908400331,135,-13.172571373748804,44.08312627260756,12.992017488088475,-8.292421198507168e-17
coarse,20,2.4999999999999998e-06,0.5239294120705202,1.0,176,0.30914122023228235,0.8732592999364589,135,-13.167246964540755,44.082190995489704,12.995200197787847,-8.28936589704285e-17
coarse,21,2.625e-06,0.524051633614288,1.0,176,0.30988006811452384,0.8732204477228702,135,-13.162877440264326,44.08093823227585,12.997527198325232,-8.28707720413367e-17
coarse,22,2.75e-06,0.5236132312132904,1.0,176,0.3092142727127638,0.8734034224524874,135,-13.154324075937188,44.08541800484291,13.004183983642253,-8.281802396073408e-17
coarse,23,2.875e-06,0.523586645189077,1.0,176,0.30931799701666074,0.8734713565283074,135,-13.149394608219657,44.08549396279697,13.0074437504384,-8.279372952057711e-17
coarse,24,3e-06,0.5243328494371166,1.0,176,0.30897880531310773,0.8732950170016947,135,-13.146591174364783,44.08293852377729,13.008665152320553,-8.278512853821538e-17
coarse,25,3.1249999999999997e-06,0.5220543297090388,1.0,176,0.3062176682379719,0.8732880667744315,135,-13.14322683361322,44.080809041905354,13.0102905466935,-8.277284551584593e-17
coarse,26,3.25e-06,0.5210246978206354,1.0,176,0.30441953776691855,0.8731985772693913,135,-13.140992376155866,44.07646921942239,13.010621478048064,-8.277108979339951e-17
coarse,27,3.375e-06,0.5203712880639229,1.0,176,0.3037292909769987,0.8731805042379529,135,-13.13771712963127,44.07636405990838,13.014142462626308,-8.274921949541611e-17
coarse,28,3.5e-06,0.521759609806484,1.0,176,0.3053437292146216,0.8729328451817184,135,-13.13803247104821,44.07284551249768,13.01400904411396,-8.275245153608784e-17
coarse,29,3.625e-06,0.5206854036314749,1.0,176,0.3063304433806666,0.872570702117874,135,-13.145775257888939,44.05903100536969,13.005869045018901,-8.280842515216834e-17
coarse,30,3.7499999999999997e-06,0.5246271974957748,1.0,176,0.31089300613839926,0.8727389367495187,135,-13.13567048126949,44.065883747428856,13.01486691418423,-8.273749124576303e-17
coarse,31,3.875e-06,0.5247447337373182,1.0,176,0.3102822065737468,0.8729258274755409,135,-13.12139540737186,44.078306996695844,13.028437956542923,-8.264011703118337e-17
coarse,32,4e-06,0.5243289268996882,1.0,176,0.31092866479124953,0.8729253032004808,135,-13.117002878082983,44.07928841371219,13.032496063842082,-8.261802764582373e-17
coarse,33,4.1249999999999995e-06,0.5241647039976193,1.0,176,0.3104902327358787,0.8730258911168329,135,-13.111786443599886,44.08200339312359,13.037955838173222,-8.258843036750831e-17
coarse,34,4.25e-06,0.5240908332060046,1.0,176,0.3102733921722565,0.8729817544824631,135,-13.108936624462714,44.081586829891506,13.04105621411126,-8.257729171032013e-17
coarse,35,4.375e-06,0.5191896438584261,1.0,176,0.3086840805797919,0.8731537583312529,135,-13.100665597069979,44.08757369783988,13.04951886779439,-8.252938467918641e-17
coarse,36,4.5e-06,0.5190469345777119,1.0,176,0.3085657907021357,0.8729257735020134,135,-13.102183926127493,44.08208508923714,13.048621974223433,-8.25515838504318e-17
coarse,37,4.625e-06,0.517303710357487,1.0,176,0.3072057516157492,0.872825406538605,135,-13.10606157838702,44.07278326216418,13.044802690829563,-8.258945817616246e-17
