label,fixed_dt,max_steps,physical_horizon,level,replicates,ion_forward_unresolved,ion_adjoint_unresolved,electron_forward_unresolved,electron_adjoint_unresolved,max_unresolved,ion_relative_change_vs_reference,electron_relative_change_vs_reference,paired_rms_change_vs_reference,paired_rms_change_stderr,log_residual_rms,log_residual_worst,imbalance_rms,imbalance_worst,imbalance_rms_change_vs_reference,imbalance_worst_change_vs_reference,pass_reference_gate
default,0.01,4000,40.0,9,8,0.0,0.0,nan,0.0,0.0,0.0028711879194973605,0.001696597819043924,0.032248253821105965,0.00855968390671847,0.9325149417519178,2.4336824419925724,0.3881639725789638,0.838719921512112,0.0012963848407870349,0.0009492745501782363,True
horizon_x4,0.01,16000,160.0,9,8,0.0,0.0,nan,0.0,0.0,0.0028711879194973605,0.001696597819043924,0.032248253821105965,0.00855968390671847,0.9325149417519178,2.4336824419925724,0.3881639725789638,0.838719921512112,0.0012963848407870349,0.0009492745501782363,True
horizon_x8,0.01,32000,320.0,9,8,0.0,0.0,nan,0.0,0.0,0.0028711879194973605,0.001696597819043924,0.032248253821105965,0.00855968390671847,0.9325149417519178,2.4336824419925724,0.3881639725789638,0.838719921512112,0.0012963848407870349,0.0009492745501782363,True
dt_half_reference,0.005,64000,320.0,9,8,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.9407201852667851,2.4401018440989395,0.3894603574197508,0.8396691960622903,0.0,0.0,True
