source_slide,source_panel,boundary_condition,quantity,cf2_fluence_1e15_cm2,digitized_value,digitization_uncertainty,marker_center_x_px,marker_center_y_px,trace_color,evidence_grade,source_image_sha256
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,600.000,13.495146,0.400000,339,566,blue,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,800.000,15.242718,0.400000,387,548,blue,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,1000.000,16.796117,0.400000,435,532,blue,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,200.000,5.436893,0.500000,243,649,black,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,400.000,9.320388,0.500000,291,609,black,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,600.000,11.941748,0.500000,339,582,black,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,800.000,13.689320,0.500000,387,564,black,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,1000.000,14.854369,0.500000,435,552,black,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_etch_yield,CF2/Ar+=9/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,198.649,0.163229,0.006000,669,524,black,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_etch_yield,CF2/Ar+=9/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,401.351,0.117489,0.006000,719,575,black,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_etch_yield,CF2/Ar+=9/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,600.000,0.078924,0.006000,768,618,black,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_etch_yield,CF2/Ar+=9/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,798.649,0.055605,0.006000,817,644,black,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_etch_yield,CF2/Ar+=9/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,1001.351,0.039462,0.006000,867,662,black,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,surface_F_uptake_ML,200.669,5.797101,0.750000,240,387,magenta,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,surface_F_uptake_ML,401.338,7.729469,0.750000,280,379,magenta,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,surface_F_uptake_ML,602.007,7.246377,0.750000,320,381,magenta,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,surface_F_uptake_ML,797.659,6.521739,0.750000,359,384,magenta,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,surface_F_uptake_ML,998.328,6.521739,0.750000,399,384,magenta,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,surface_F_uptake_ML,1198.997,7.004831,0.750000,439,382,magenta,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,surface_F_uptake_ML,1399.666,7.487923,0.750000,479,380,magenta,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,200.669,5.072464,0.750000,240,390,blue,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,401.338,8.454106,0.750000,280,376,blue,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,602.007,9.420290,0.750000,320,372,blue,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,797.659,10.628019,0.750000,359,367,blue,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_surface_state,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,998.328,11.111111,0.750000,399,365,blue,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
