run,emission_energy_eV,angular_log2_samples,trajectory_fixed_dt,response_fixed_dt,response_launch_offset,top_signed_imbalance,upper_wall_signed_imbalance,lower_wall_signed_imbalance,floor_signed_imbalance,all_signed_imbalance,node_rms_imbalance,node_worst_imbalance,emitted_rate_s,landed_rate_s,escaped_rate_s,cascade_relative_charge_error
absorber,,0,0.005,0.005,0.0001,0.032369563565402965,-0.12574109949714515,0.003281341172873914,-0.02789155405211696,-0.0004394061775764167,0.29975359546999186,0.7717084716084319,0.0,0.0,0.0,0.0
energy_1eV,1.0,4,0.005,0.005,0.0001,0.06399543032386264,-0.11571653415597102,-0.02151416347146664,-0.013434808899888998,0.015414830950501461,0.2980725021754734,0.7581331843871921,56146715.572677866,19980461.773190264,36166253.7994876,2.6749395109538004e-15
energy_3eV,3.0,4,0.005,0.005,0.0001,0.06399543032386264,-0.12243165416352608,-0.01521799555493543,-0.015322201208571128,0.015428162039870706,0.29257499934986836,0.7584189979929771,56146715.572677866,19950485.60531324,36196229.96736461,2.6680865489274455e-15
energy_5eV,5.0,4,0.005,0.005,0.0001,0.06399543032386264,-0.12109405716549072,-0.013811788166510982,-0.01650111255128338,0.015445020080714226,0.29202919724112375,0.7587373964765984,56146715.572677866,19912579.892982382,36234135.679695465,2.6726551902783488e-15
angular_level3,3.0,3,0.005,0.005,0.0001,0.06399543032386264,-0.12274353623670363,-0.014954951558132422,-0.01538824373524657,0.015429259382498978,0.2922927402550866,0.7585280120692864,56146715.57267786,19948018.16559125,36198697.40708661,2.6589492662256395e-15
refined_flight,3.0,4,0.005,0.0025,5e-05,0.06399543032386264,-0.12247440172125865,-0.015206181419802194,-0.015316150398745159,0.015428418578974814,0.29260796951224166,0.7584471475626101,56146715.572677866,19949908.76150579,36196806.81117207,2.6726551902783488e-15
