source_figure,cycle_duration_s,timing,initial_width_nm,etch_rate_nm_per_bias_min,cumulative_bias_time_s,derived_etch_depth_nm,plotted_lower_rate_nm_per_bias_min,plotted_upper_rate_nm_per_bias_min,marker_center_x_px,marker_center_y_px,upper_cap_y_px,lower_cap_y_px,digitization_rate_uncertainty_nm_per_bias_min,digitization_depth_uncertainty_nm,measurement_uncertainty_semantics,split,boundary_evidence_tier,observation_id,source_image_sha256
Figure 5e,4,III,130,176.890,168.75,497.503,166.307,187.473,2216.0,368.5,344.0,393.0,2.0,5.625,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig5_III_w130,de722d00eadba115a690562b519387ea79e3a634f19a12f6252df168c6056aef
Figure 5e,4,III,140,176.026,168.75,495.073,165.011,187.473,2347.0,370.5,344.0,396.0,2.0,5.625,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig5_III_w140,de722d00eadba115a690562b519387ea79e3a634f19a12f6252df168c6056aef
Figure 6f,8,I,80,388.222,112.5,727.915,375.117,401.326,1397.0,363.0,351.0,375.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_I_w80,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,I,90,404.056,112.5,757.605,391.498,416.615,1521.0,348.5,337.0,360.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_I_w90,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,I,100,410.062,112.5,768.867,398.050,422.075,1656.0,343.0,332.0,354.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_I_w100,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,I,110,414.977,112.5,778.081,402.418,428.627,1787.0,338.5,326.0,350.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_I_w110,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,I,120,420.437,112.5,788.319,408.970,432.995,1919.0,333.5,322.0,344.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_I_w120,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,I,130,420.983,112.5,789.343,408.970,432.995,2042.0,333.0,322.0,344.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_I_w130,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,I,140,427.535,112.5,801.628,414.431,439.548,2171.0,327.0,316.0,339.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_I_w140,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
Figure 6f,8,II,80,425.351,112.5,797.533,410.062,455.928,1397.0,329.0,301.0,343.0,4.0,7.500,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig6_II_w80,202e04674548182e40d2be4c7677cb1b1124cd9056f87baa13a1525495a9f7fe
