step=72 t=10.576s dt=0.1464s depth=219.453nm mask_opening=67.629nm wall=24.78s
step=73 t=10.723s dt=0.1464s depth=222.309nm mask_opening=67.468nm wall=24.45s
step=74 t=10.870s dt=0.1468s depth=224.948nm mask_opening=67.371nm wall=24.47s
step=75 t=11.016s dt=0.1469s depth=227.825nm mask_opening=67.349nm wall=24.48s
step=76 t=11.164s dt=0.1475s depth=230.805nm mask_opening=67.372nm wall=24.26s
step=77 t=11.312s dt=0.148s depth=233.262nm mask_opening=67.442nm wall=25.13s
step=78 t=11.460s dt=0.1481s depth=235.997nm mask_opening=67.449nm wall=22.97s
step=79 t=11.608s dt=0.1479s depth=238.981nm mask_opening=67.194nm wall=22.85s
step=80 t=11.755s dt=0.1473s depth=241.854nm mask_opening=66.941nm wall=23.15s
step=81 t=11.902s dt=0.1471s depth=244.422nm mask_opening=66.693nm wall=23.68s
step=82 t=12.050s dt=0.1478s depth=247.256nm mask_opening=66.453nm wall=24.46s
step=83 t=12.198s dt=0.1477s depth=250.284nm mask_opening=66.226nm wall=24.34s
step=84 t=12.346s dt=0.1481s depth=252.702nm mask_opening=66.102nm wall=23.54s
step=85 t=12.510s dt=0.1645s depth=255.682nm mask_opening=66.110nm wall=25.76s
step=86 t=12.658s dt=0.1481s depth=258.615nm mask_opening=66.187nm wall=23.79s
step=87 t=12.807s dt=0.1486s depth=261.513nm mask_opening=66.324nm wall=24.42s
step=88 t=12.955s dt=0.1485s depth=263.910nm mask_opening=66.510nm wall=24.85s
step=89 t=13.104s dt=0.1487s depth=266.649nm mask_opening=66.734nm wall=23.79s
step=90 t=13.253s dt=0.149s depth=269.672nm mask_opening=66.646nm wall=24.36s
step=91 t=13.402s dt=0.1492s depth=272.443nm mask_opening=66.415nm wall=25.16s
step=92 t=13.552s dt=0.1492s depth=275.029nm mask_opening=66.190nm wall=26.22s
step=93 t=13.701s dt=0.1492s depth=277.902nm mask_opening=65.977nm wall=24.96s
step=94 t=13.850s dt=0.1493s depth=280.867nm mask_opening=65.853nm wall=24.12s
step=95 t=13.999s dt=0.1492s depth=283.238nm mask_opening=65.845nm wall=24.29s
step=96 t=14.148s dt=0.1492s depth=285.925nm mask_opening=65.917nm wall=24.57s
step=97 t=14.297s dt=0.1488s depth=288.877nm mask_opening=66.054nm wall=24.76s
step=98 t=14.446s dt=0.1489s depth=291.735nm mask_opening=66.236nm wall=24.92s
step=99 t=14.595s dt=0.1488s depth=294.106nm mask_opening=66.437nm wall=25.01s
step=100 t=14.744s dt=0.1487s depth=296.859nm mask_opening=66.358nm wall=25.39s
step=101 t=14.892s dt=0.1484s depth=299.912nm mask_opening=66.136nm wall=29.43s
step=102 t=15.040s dt=0.1481s depth=302.634nm mask_opening=65.918nm wall=30.25s
step=103 t=15.189s dt=0.1486s depth=305.217nm mask_opening=65.729nm wall=30.85s
step=104 t=15.337s dt=0.1484s depth=308.088nm mask_opening=65.583nm wall=26.49s
step=105 t=15.486s dt=0.149s depth=311.021nm mask_opening=65.469nm wall=25.84s
step=106 t=15.635s dt=0.149s depth=313.356nm mask_opening=65.381nm wall=24.66s
step=107 t=15.785s dt=0.1494s depth=316.000nm mask_opening=65.313nm wall=26.55s
step=108 t=15.934s dt=0.1495s depth=318.937nm mask_opening=65.260nm wall=26.27s
step=109 t=16.084s dt=0.1497s depth=321.767nm mask_opening=65.219nm wall=27.60s
step=110 t=16.234s dt=0.15s depth=324.131nm mask_opening=65.186nm wall=27.16s
step=111 t=16.384s dt=0.1505s depth=326.874nm mask_opening=65.036nm wall=30.62s
step=112 t=16.535s dt=0.1505s depth=329.936nm mask_opening=64.828nm wall=31.41s
step=113 t=16.685s dt=0.15s depth=332.662nm mask_opening=64.623nm wall=30.62s
step=114 t=16.834s dt=0.1495s depth=335.213nm mask_opening=64.422nm wall=29.34s
step=115 t=16.985s dt=0.1505s depth=338.111nm mask_opening=64.226nm wall=31.31s
step=116 t=17.135s dt=0.15s depth=341.033nm mask_opening=64.037nm wall=29.79s
step=117 t=17.285s dt=0.1505s depth=343.375nm mask_opening=63.855nm wall=31.10s
step=118 t=17.436s dt=0.1507s depth=346.021nm mask_opening=63.681nm wall=32.99s
step=119 t=17.587s dt=0.1512s depth=348.979nm mask_opening=63.515nm wall=29.37s
step=120 t=17.738s dt=0.1513s depth=351.803nm mask_opening=63.380nm wall=26.54s
step=121 t=17.890s dt=0.1516s depth=354.160nm mask_opening=63.280nm wall=28.98s
step=122 t=18.042s dt=0.1522s depth=356.904nm mask_opening=63.188nm wall=28.98s
step=123 t=18.194s dt=0.1521s depth=359.955nm mask_opening=63.104nm wall=28.35s
step=124 t=18.346s dt=0.1522s depth=362.663nm mask_opening=63.026nm wall=29.97s
step=125 t=18.498s dt=0.152s depth=365.225nm mask_opening=62.954nm wall=29.81s
step=126 t=18.651s dt=0.1524s depth=368.107nm mask_opening=62.886nm wall=31.37s
step=127 t=18.803s dt=0.1522s depth=371.037nm mask_opening=62.823nm wall=33.61s
step=128 t=18.955s dt=0.1522s depth=373.382nm mask_opening=62.763nm wall=33.53s
step=129 t=19.107s dt=0.1522s depth=376.051nm mask_opening=62.700nm wall=39.37s
step=130 t=19.259s dt=0.152s depth=379.001nm mask_opening=62.632nm wall=33.67s
step=131 t=19.412s dt=0.1525s depth=381.829nm mask_opening=62.563nm wall=33.92s
step=132 t=19.565s dt=0.1525s depth=384.166nm mask_opening=62.489nm wall=33.25s
step=133 t=19.717s dt=0.1527s depth=386.904nm mask_opening=62.380nm wall=33.36s
step=134 t=19.870s dt=0.1525s depth=389.958nm mask_opening=62.191nm wall=33.65s
step=135 t=20.022s dt=0.1524s depth=392.676nm mask_opening=62.003nm wall=32.35s
step=136 t=20.174s dt=0.1519s depth=395.237nm mask_opening=61.818nm wall=32.23s
step=137 t=20.326s dt=0.1516s depth=398.110nm mask_opening=61.636nm wall=32.52s
step=138 t=20.477s dt=0.1518s depth=401.032nm mask_opening=61.457nm wall=33.29s
step=139 t=20.629s dt=0.1517s depth=403.339nm mask_opening=61.281nm wall=34.41s
step=140 t=20.781s dt=0.1522s depth=405.963nm mask_opening=61.110nm wall=35.11s
