Point,Marker center x (pixel),Marker center y (pixel),Mean ion energy (eV),Etch per cycle (nm)
1,722.6036363636364,819.3127272727273,20.6821047804654,0.110014636526264
2,830.0,797.5,54.5397225725095,0.422182468694097
3,938.5,739.0,88.7452711223203,1.25939177101968
4,1081.0277777777778,659.9722222222222,133.678366260333,2.3903796461936
5,1203.5276752767527,477.97047970479707,172.297501663541,4.99505574662187
6,1358.0,343.5,220.996216897856,6.91949910554562
