width_nm,pitch_nm,profile_count,etch_depth_min_nm,etch_depth_max_nm,top_cd_min_nm,top_cd_max_nm,middle_cd_min_nm,middle_cd_max_nm,bottom_cd_min_nm,bottom_cd_max_nm,sidewall_angle_min_deg,sidewall_angle_max_deg,bow_min_nm,bow_max_nm,cr_center_remaining_min_nm,cr_center_remaining_max_nm,cr_center_exhausted_fraction,cr_layer_retired_fraction,terminal_reasons
105.0,350.0,16,683.6409626811694,684.0206283923769,0.0,0.0,88.45517223002601,99.03183160896839,100.21645142367088,116.78984088553689,85.11778698018793,85.81025685605178,31.4278183656864,47.31307105979358,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
110.0,350.0,16,682.6880769782069,683.8607981917824,0.0,0.0,95.35285154263313,106.57337600013268,113.2297039038367,123.10844087444258,84.84788687668471,85.26633664982926,35.623200802866464,49.86242843573587,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
115.0,350.0,16,680.5336381100021,683.1531449214201,0.0,0.0,100.17129551964297,110.62555392055451,114.96391138224779,126.7808636678074,84.67836135968196,85.18924909384268,36.89827709774129,52.728578801196996,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
120.0,350.0,16,680.6687767917956,683.4846424193762,0.0,0.0,104.11689173187527,114.53788939724795,117.35209972735959,131.7142392846135,84.47363173846234,85.09042293440265,39.46880110402796,55.34006625740724,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
125.0,350.0,16,679.8926095932784,682.8365517301663,0.0,0.0,108.28563299791527,118.96068378359189,119.69444650114194,135.2913782780623,84.31807504545398,84.9879985139084,41.887810309154844,58.038640951285494,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
130.0,350.0,16,679.1503339235283,681.3151148893809,0.0,0.0,114.24879961578449,126.46698332824974,132.99366263158828,143.00998495062123,83.98970210019657,84.41788902007352,45.53680992039524,59.86789126700937,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
135.0,350.0,16,678.5784217239816,679.7199061264537,0.0,0.0,120.04255536573982,130.66837656109635,134.46291908572758,146.03348941170609,83.85846015652749,84.3504066866106,47.02581065988677,63.044357848114075,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
140.0,350.0,16,678.3848020808729,679.8411956748923,0.0,0.0,124.34308241715253,134.54663959620032,136.70894478757103,151.24876199381134,83.64310587457373,84.2559676340692,49.669260382475684,65.60884670832623,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
145.0,350.0,16,678.5148708712534,679.2919279343024,0.0,0.0,128.22682062656938,138.99514628546098,139.42854187818475,155.15244377815443,83.47975986697332,84.13991727653524,51.90997871702224,68.14328800683087,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
150.0,350.0,16,677.7637379865178,679.1553218181314,0.0,0.0,134.6679602244851,146.94735376707015,152.92326870205105,162.94834038360707,83.14534963419538,83.57613112878346,55.588000813375274,70.48571941604463,0.0,0.0,1.0,1.0,domain_gas_breakthrough;requested_duration
