run,quantitative_status,inductive_power_W,rf_bias_power_W,cl2_flow_sccm,observed_feature_depth_nm,reactor_reduced_field_Td,reactor_mean_electron_energy_eV,reactor_electron_density_m3,reactor_atomic_chlorine_density_m3,reactor_total_axial_ion_flux_m2_s,wafer_total_positive_ion_flux_m2_s,wafer_clplus_flux_m2_s,wafer_cl2plus_flux_m2_s,wafer_clplus_fraction,wafer_atomic_chlorine_flux_m2_s,wafer_neutral_to_total_ion_ratio,mean_sheath_energy_gain_eV,mean_impact_energy_eV,ion_power_closure_relative_residual,surface_chlorination_fraction,rf_sheath_surface_chlorination_fraction,clplus_only_surface_plane_depth_nm_75s,cl2plus_surface_plane_depth_nm_75s,species_resolved_surface_plane_depth_nm_75s,rf_sheath_clplus_surface_plane_depth_nm_75s,rf_sheath_cl2plus_surface_plane_depth_nm_75s,rf_sheath_species_resolved_surface_plane_depth_nm_75s,joined_species_resolved_surface_plane_depth_nm_75s,all_positive_ions_as_clplus_sensitivity_depth_nm_75s,clplus_only_signed_error_percent,all_ions_as_clplus_signed_error_percent,species_resolved_signed_error_percent,rf_sheath_species_resolved_signed_error_percent,joined_species_resolved_signed_error_percent,rf_sheath_frequency_hz,rf_sheath_bias_dc_component_v,rf_sheath_dc_v,rf_sheath_amplitude_v,rf_sheath_clplus_mean_energy_eV,rf_sheath_clplus_standard_deviation_eV,rf_sheath_cl2plus_mean_energy_eV,rf_sheath_cl2plus_standard_deviation_eV,rf_sheath_clplus_probability_inside_35_100eV,rf_sheath_cl2plus_probability_inside_26_625eV,rf_sheath_power_closure_relative_residual,surface_energy_inside_measured_35_100eV,surface_neutral_ion_ratio_inside_measured_domain,surface_cl2plus_energy_inside_measured_26_625eV,surface_high_chlorination_scope,excluded_cl2plus_surface_kinetics,feature_transport_applied,formal_feature_depth_pass,sicl2_reflective_wall_flux_m2_s,sicl2_reflective_wall_to_total_ion_ratio,sicl2_reflective_wall_residence_time_s,sicl2_reflective_wall_wall_loss_frequency_s_inv,sicl2_reflective_wall_surface_chlorination_fraction,sicl2_reflective_wall_surface_plane_depth_nm_75s,sicl2_reflective_wall_signed_error_percent,sicl2_reflective_wall_fixed_point_relative_residual,sicl2_reactive_wall_flux_m2_s,sicl2_reactive_wall_to_total_ion_ratio,sicl2_reactive_wall_residence_time_s,sicl2_reactive_wall_wall_loss_frequency_s_inv,sicl2_reactive_wall_surface_chlorination_fraction,sicl2_reactive_wall_surface_plane_depth_nm_75s,sicl2_reactive_wall_signed_error_percent,sicl2_reactive_wall_fixed_point_relative_residual,table4_product_reflective_wall_sicl2_flux_m2_s,table4_product_reflective_wall_sicl2_to_total_ion_ratio,table4_product_reflective_wall_total_product_ion_flux_m2_s,table4_product_reflective_wall_elemental_si_density_m3,table4_product_reflective_wall_surface_chlorination_fraction,table4_product_reflective_wall_surface_plane_depth_nm_75s,table4_product_reflective_wall_signed_error_percent,table4_product_reflective_wall_fixed_point_relative_residual,table4_product_reflective_wall_silicon_inventory_relative_residual,table4_product_reflective_wall_linear_balance_maximum_relative_residual,table4_product_reflective_wall_matrix_condition_number,table4_product_reactive_wall_sicl2_flux_m2_s,table4_product_reactive_wall_sicl2_to_total_ion_ratio,table4_product_reactive_wall_total_product_ion_flux_m2_s,table4_product_reactive_wall_elemental_si_density_m3,table4_product_reactive_wall_surface_chlorination_fraction,table4_product_reactive_wall_surface_plane_depth_nm_75s,table4_product_reactive_wall_signed_error_percent,table4_product_reactive_wall_fixed_point_relative_residual,table4_product_reactive_wall_silicon_inventory_relative_residual,table4_product_reactive_wall_linear_balance_maximum_relative_residual,table4_product_reactive_wall_matrix_condition_number,board_clplus_only_mape_percent,board_species_resolved_mape_percent,board_rf_sheath_species_resolved_mape_percent,board_joined_species_resolved_mape_percent,board_sicl2_reflective_wall_mape_percent,board_sicl2_reactive_wall_mape_percent,board_table4_product_reflective_wall_mape_percent,board_table4_product_reactive_wall_mape_percent,board_all_ions_as_clplus_mape_percent
1,usable,400.0,80.0,100.0,393.75,364.81089652957826,3.65487106996815,2.2607116527145628e+16,7.432323013047498e+19,2.7550580136425517e+19,1.2483018148921528e+20,3.441837199476496e+19,9.04118094944503e+19,0.2757215569516619,1.2483018148921525e+22,99.99999999999999,70.0,90.0,0.0,0.9199407018718933,0.920424853142409,158.58711284709116,130.9177252628473,289.5048381099385,151.41298350051872,135.49598780566697,286.90897130618566,286.9089713061857,477.1552745601571,-59.7239078483578,21.182291951785935,-26.474961749856895,-27.134229509540152,-27.13422950954013,13560000.0,67.8108236045419,87.8108236045419,67.8108236045419,85.48132848654481,17.61212428138745,93.40226265927184,12.950628073453808,0.71875,1.0,-2.157004733557447e-15,True,True,True,True,False,False,False,3.7449054446764745e+19,0.3000000000000013,0.14976976452349836,0.0,0.8676476012271817,278.2269358894317,-29.339190885223697,-1.559691182137337e-13,3.7449054446764745e+19,0.3000000000000013,0.004495932495944861,215.74635325870247,0.8676476012271817,278.2269358894317,-29.339190885223697,-1.559691182137337e-13,2.3286960415836865e+20,1.865491192756837,1.281361615334835e+19,3.2721873090737633e+18,0.6699183274253899,245.69980543493915,-37.60004941334879,-4.249561051888089e-13,0.0,1.0687556814828245e-16,1361.8662022918138,2.1669959524307957e+20,1.7359551404785978,3.228347941302282e+18,489682487503758.0,0.6826563303210709,247.79524974599676,-37.06787308038177,-2.2818183829339257e-13,1.644247235299693e-16,5.189434946606359e-17,407.7860638115008,52.653856484668786,22.429242516609303,20.704698465803204,20.7046984658032,20.904215567603945,21.649251629391355,27.855013765037896,27.072779769225804,46.788436893226205
2,usable,550.0,80.0,175.0,459.375,350.4050482994854,3.602300303083126,3.4328193113869948e+16,8.316845648567085e+19,3.785720337043396e+19,1.7152893129670882e+20,5.227689454948586e+19,1.1925203674722296e+20,0.3047701291804697,1.3968625285874458e+22,81.43597223089839,50.94250070928256,70.94250070928257,0.0,0.8971793290440395,0.8964950449252861,195.39005221869436,130.80328163342207,326.19333385211644,204.40970149579573,127.5926487126186,332.0023502084143,332.00235020841427,522.5868610372257,-57.46611108164477,13.760405123749809,-28.991927324709344,-27.727379546467635,-27.727379546467645,13560000.0,51.24131222269488,71.24131222269489,51.24131222269488,76.78234111020444,16.7372438073934,70.10962201693724,12.356098848578233,1.0,1.0,6.59789683205803e-15,True,True,True,True,False,False,False,2.4266619966010094e+19,0.1414724605497248,0.08315595330853456,0.0,0.8645214247653589,324.7120498440934,-29.314383707408233,3.696534586425504e-13,4.202218723087575e+19,0.24498600272968668,0.004390356222298728,215.74635325870247,0.8425860496054517,319.71056822518653,-30.403141610843743,5.378522511411165e-13,1.6978476694000714e+20,0.9898316607961333,1.147607655162394e+19,1.7542091704915866e+18,0.7134061477886857,290.2562780770218,-36.81495987438981,5.593061480807308e-13,-1.4037134942078167e-16,2.0710335897316894e-16,821.6629983867025,1.595062869200075e+20,0.9299089413907403,3.4087150872008945e+18,739821836448375.5,0.7222554036483368,292.27399558585864,-36.37572885205799,-4.238101538524411e-13,0.0,1.7926714172549237e-16,284.4136096422406,52.653856484668786,22.429242516609303,20.704698465803204,20.7046984658032,20.904215567603945,21.649251629391355,27.855013765037896,27.072779769225804,46.788436893226205
3,usable,250.0,80.0,25.0,250.0,385.58510229669764,3.73831747483725,1.2268469504919362e+16,6.26687605846311e+19,1.7675149967132973e+19,8.008514402675548e+19,1.923112481352557e+19,6.085401921322991e+19,0.2401334860195879,1.0525582302801463e+22,131.42989790072667,109.11028269270228,129.1102826927023,1.2688263138573217e-16,0.9437055646334623,0.9435712762356324,117.85861966800502,125.78782393223878,243.6464436002438,120.65053982741652,125.48147227534601,246.13201210276253,246.13201210276256,417.49015520573505,-52.85655213279799,66.99606208229403,-2.5414225599024842,-1.5471951588949873,-1.5471951588949762,13560000.0,105.89295322762243,125.89295322762243,105.89295322762243,134.29958548291174,19.07402417423057,129.11025697229206,13.279179544521199,0.0,1.0,-3.806478941571965e-16,False,True,True,True,False,False,False,1.2683786137839629e+20,1.5837876415134033,0.6214616351394623,0.0,0.794727340315503,227.09995626227035,-9.160017495091854,-9.988931587392706e-13,3.3123021915542704e+19,0.4135975818995431,0.004600758526989067,215.74635325870247,0.899367075917753,240.47980461689207,-3.8080781532431773,-4.880868672315738e-13,4.53679761265243e+20,5.664967788703408,2.9880265451961725e+19,2.0117005876216943e+19,0.568877900771819,198.2215265273446,-20.711389389062163,-2.1552584079860083e-13,0.0,8.190408221589971e-17,5717.199210920067,4.0835048064175184e+20,5.0989541893728365,3.6909763565836534e+18,316367466156366.25,0.5918670251220185,201.1610503692282,-19.535579852308715,6.082555348279519e-13,0.0,7.423391379332859e-17,816.576883133918,52.653856484668786,22.429242516609303,20.704698465803204,20.7046984658032,20.904215567603945,21.649251629391355,27.855013765037896,27.072779769225804,46.788436893226205
4,usable,400.0,20.0,175.0,175.0,368.220080141793,3.66256426981277,2.2152178140682124e+16,7.149265497440088e+19,2.721704004170975e+19,1.2331892944475282e+20,3.290796284674948e+19,9.041096659800334e+19,0.266852485623404,1.2007606612271005e+22,97.37034424751832,17.714459458066745,37.71445945806674,1.2688263138573217e-16,0.9335937414672589,0.932022014012992,59.79297056591415,31.097770289357193,90.89074085527135,65.25931173879994,32.787693941536865,98.04700568033681,98.04700568033681,190.953556087655,-65.83258824804905,9.116317764374271,-48.062433796987804,-43.973139611236114,-43.973139611236114,13560000.0,17.792464892094078,37.792464892094074,17.792464892094078,40.0798832729509,5.736760806017157,38.51871169992403,4.043564352385763,0.7291666666666666,1.0,-8.120488408686859e-15,True,True,True,True,False,False,False,7.488675001283591e+18,0.06072607859151531,0.08635931693611838,0.0,0.9097722544590366,96.48909827792144,-44.86337241261632,-3.020582412258885e-13,1.257361555297586e+19,0.1019601419635164,0.004398971208248228,215.74635325870247,0.895281197375504,95.47444798273452,-45.44317258129457,-3.267387954316506e-13,6.1024494709759476e+19,0.4948509931486115,2.278710274104023e+18,3.744922203309595e+17,0.7779482154300627,87.2589020719125,-50.13777024462143,1.8391041258724477e-13,0.0,8.477470651734048e-17,705.9640506165155,5.797748939762185e+19,0.47014265902783325,8.455041454143564e+17,125390460289779.03,0.7843788945177986,87.70917222108183,-49.880473016524675,-2.5122467618608974e-13,0.0,1.014109454351732e-16,299.36020311035674,52.653856484668786,22.429242516609303,20.704698465803204,20.7046984658032,20.904215567603945,21.649251629391355,27.855013765037896,27.072779769225804,46.788436893226205
5,usable,550.0,20.0,100.0,162.5,346.83659618786396,3.5943006119043153,3.5097349287590064e+16,8.605448938889083e+19,3.8413639750347375e+19,1.7405011429713347e+20,5.4756243563593425e+19,1.1929387073354005e+20,0.31460044588143793,1.4453351273241195e+22,83.0413202060117,12.551144737152553,32.551144737152555,0.0,0.9176731924628376,0.9152638782413324,74.81496929001648,23.87428547299232,98.68925476300879,81.80962221395423,26.735918620578254,108.54554083453249,108.54554083453249,203.76408387618082,-53.9600188984514,25.39328238534204,-39.26815091507151,-33.20274410182616,-33.20274410182616,13560000.0,11.923139829355826,31.923139829355826,11.923139829355826,34.3373857191579,5.251848072433452,33.47928656442357,3.5164569419185696,0.5104166666666666,1.0,-5.721137849182664e-13,False,True,True,True,False,False,False,1.3620114964954618e+19,0.07825398460642628,0.14413725132418537,0.0,0.8772151487122986,105.14460667500649,-35.29562666153447,-2.8554472631156374e-13,1.411974733387206e+19,0.08112460822500366,0.004490664659985334,215.74635325870247,0.8758816423281909,105.02541301283185,-35.36897660748809,-2.613712492678121e-13,7.079961496309491e+19,0.4067771816698023,7.348452987970356e+18,1.5963538387939418e+18,0.7477782579921108,93.5750654944735,-42.41534431109323,-3.310372805306492e-13,0.0,8.710616839906837e-17,1608.0406288104778,6.521632832970787e+19,0.3746985665195967,1.424793277618471e+18,316673970626254.94,0.7586435181562089,94.54624205941035,-41.81769719420901,-1.1053918833876018e-13,2.1546951282274643e-16,1.4597029739855077e-16,367.47595544570953,52.653856484668786,22.429242516609303,20.704698465803204,20.7046984658032,20.904215567603945,21.649251629391355,27.855013765037896,27.072779769225804,46.788436893226205
6,usable,550.0,80.0,25.0,296.875,343.0135871096685,3.585721556941111,3.5947227760395332e+16,8.911455296618435e+19,3.9027955037876494e+19,1.7683354348280322e+20,5.7516109953254605e+19,1.193174335295486e+20,0.32525565467078904,1.4967306723040007e+22,84.64065373714323,49.414339226283936,69.41433922628394,0.0,0.895010716901436,0.8942527587781045,210.73426001820292,127.2836298807254,338.01788989892833,221.16013626359458,123.13393678681426,344.2940730504088,344.2940730504088,535.1203641400499,-29.01582820439481,80.25107002612206,13.858657650165341,15.972740395927175,15.972740395927175,13560000.0,49.369416185526816,69.36941618552682,49.369416185526816,75.60105288120269,16.76153056958449,68.2034760500799,12.18685330363508,1.0,1.0,-2.157004733557447e-15,True,True,True,True,False,False,False,1.559483196732312e+20,0.8818933139141496,0.5706721089871791,0.0,0.7316165473865744,304.0720593974762,2.4242726391498826,4.73192248269327e-13,4.552544484683184e+19,0.2574480155189511,0.004597729200946547,215.74635325870247,0.8394541010048223,330.7416646275812,11.40771861139578,-1.7310548038606208e-13,2.9990001104192045e+20,1.6959452665782566,1.0490567306281432e+20,3.5648609238499516e+19,0.6278825179298313,278.41730813769544,-6.217327785197324,1.986402861174717e-13,-8.780416498684368e-16,8.612902735132855e-17,8378.341236456185,2.680611019991983e+20,1.5158950995361737,5.961579488479781e+18,1366453427892259.2,0.6480858059907565,283.4138394837459,-4.534285647580328,-5.009427440181217e-13,-1.4376032414557478e-16,9.432665000260607e-17,515.3338956228314,52.653856484668786,22.429242516609303,20.704698465803204,20.7046984658032,20.904215567603945,21.649251629391355,27.855013765037896,27.072779769225804,46.788436893226205
7,usable,250.0,80.0,175.0,265.625,392.46243076537485,3.7539079099122072,1.1800778004300218e+16,5.685652699141552e+19,1.7321558546629546e+19,7.848304051474576e+19,1.7539970307729897e+19,6.094307020701587e+19,0.22348739540021267,9.549383914995765e+21,121.67448983072441,111.33759149664074,131.33759149664075,0.0,0.943357060286185,0.9432675288732606,108.73339155112205,127.93456601403703,236.6679575651591,110.44657383073304,128.110090572072,238.55666440280504,238.5566644028051,407.53890282505733,-59.065076121930524,53.42641047531571,-10.901474798998922,-10.19043222482634,-10.190432224826317,13560000.0,107.44090897539662,127.44090897539662,107.44090897539662,135.0439558553642,18.683085487002277,131.88230502375745,13.340092845817853,0.0,1.0,3.8064789415719636e-16,False,True,True,True,False,False,False,1.910473082082115e+19,0.24342495774270703,0.0903748733826518,0.0,0.9147774449943434,235.22077924164057,-11.446294873735319,-6.116750929180442e-13,3.0791897372812403e+19,0.39233823219459846,0.004408949934793159,215.74635325870247,0.8982108459724859,233.28100707098466,-12.176562043864603,7.695323127740005e-13,1.8384762002596122e+20,2.342513985444015,3.131740441831679e+18,4.986871636973102e+17,0.7273344794262152,213.27320583115647,-19.708910745917564,-8.091849107374497e-14,0.0,1.2457729835319874e-16,576.5926115253509,1.7730305650850667e+20,2.2591257339882764,1.5418089070823068e+18,125886476517669.33,0.7332491615123294,213.96575206190573,-19.44818745904725,-2.3656129130513693e-13,0.0,9.776357459766477e-17,304.1449953164429,52.653856484668786,22.429242516609303,20.704698465803204,20.7046984658032,20.904215567603945,21.649251629391355,27.855013765037896,27.072779769225804,46.788436893226205
8,overetched_no_rate,550.0,140.0,100.0,,346.83659618786396,3.5943006119043153,3.5097349287590064e+16,8.605448938889083e+19,3.8413639750347375e+19,1.7405011429713347e+20,5.4756243563593425e+19,1.1929387073354005e+20,0.31460044588143793,1.4453351273241195e+22,83.0413202060117,87.85801316006787,107.85801316006787,0.0,0.8917412581710736,0.8917803169539229,279.31115169771385,208.11607772713342,487.42722942484727,278.42061579810553,209.031843494885,487.4524592929905,487.4524592929905,721.8166205732117,,,,,,13560000.0,87.36050801300549,107.36050801300549,87.36050801300549,108.85687469118471,25.258347116077616,109.14756451094527,18.66251828630881,0.42708333333333326,1.0,-6.235375028098838e-15,False,True,True,True,False,False,False,6.076443669782224e+19,0.3491203492925428,0.14413725132418537,0.0,0.8329637899239362,469.0894910109254,,-5.938631535325874e-13,6.298128144943457e+19,0.36185716799883677,0.004490664659985334,215.74635325870247,0.8309698221568894,468.4669590677682,,3.5210055257138767e-13,3.130669427410469e+20,1.798717248795297,3.2493929691840565e+19,7.058874770783167e+18,0.6557983974349002,413.777104387058,,5.490868071056219e-13,1.9693533063836471e-16,1.0859512041903382e-16,1608.0406288104778,2.883868137779281e+20,1.6569182671469105,6.300440459439805e+18,1400333317349758.8,0.6695926866951424,418.0837866913415,,5.134721316142691e-13,0.0,1.005141833564206e-16,367.47595544570953,52.653856484668786,22.429242516609303,20.704698465803204,20.7046984658032,20.904215567603945,21.649251629391355,27.855013765037896,27.072779769225804,46.788436893226205
9,usable,400.0,140.0,25.0,362.5,361.1642730830264,3.6466265718653093,2.3108024678069644e+16,7.732372592559356e+19,2.791724575963282e+19,1.2649152350321911e+20,3.6090285628714303e+19,9.040123787450481e+19,0.2853178191643477,1.2986968843751057e+22,102.67066506966808,120.89108272966376,140.89108272966376,0.0,0.9164631294291626,0.9166631093853089,228.07764030752367,201.99071920156877,430.06835950909243,222.53477789371505,205.12833345548913,427.6631113492042,427.66311134920414,663.0248521037761,-37.08203025999347,82.90340747690375,18.63954745078411,17.97603071702185,17.97603071702183,13560000.0,119.0166346295971,139.0166346295971,119.0166346295971,137.23412856203674,27.50769553908622,144.05183927164427,19.137404775701302,0.0,1.0,8.700523295021628e-16,False,True,True,True,False,False,False,2.054383182056222e+20,1.6241271550531522,0.5933165625943357,0.0,0.7420825768690965,385.28086684706227,6.28437706125855,-2.853506225714211e-13,5.699611396255562e+19,0.4505923589504803,0.004599143395191537,215.74635325870247,0.8601703311235658,413.94857682243986,14.19271084756961,-7.025478267923049e-13,5.1575811819290296e+20,4.077412493017979,8.945450977235976e+19,4.152472887555004e+19,0.5790441164150124,345.7006467925948,-4.634304333077299,2.1461669743141067e-13,8.250075915877221e-16,1.5621350860543699e-16,7232.404879589237,4.618015164668046e+20,3.650849508940037,6.980164557936119e+18,1093309368912033.4,0.601789424194403,351.22243769154903,-3.111051671296816,-5.826979912469449e-13,1.1600530336079256e-16,1.2347919110161448e-16,632.8896436900359,52.653856484668786,22.429242516609303,20.704698465803204,20.7046984658032,20.904215567603945,21.649251629391355,27.855013765037896,27.072779769225804,46.788436893226205
10,usable,400.0,20.0,25.0,112.5,361.1642730830264,3.6466265718653093,2.3108024678069644e+16,7.732372592559356e+19,2.791724575963282e+19,1.2649152350321911e+20,3.6090285628714303e+19,9.040123787450481e+19,0.2853178191643477,1.2986968843751057e+22,102.67066506966808,17.27015467566625,37.27015467566625,0.0,0.9331002140504271,0.9314435151332815,64.25854012824514,30.0120679865299,94.27060811477504,70.328186409213,31.580350359562345,101.90853676877535,101.90853676877536,194.22302250580788,-42.88129766378209,72.64268667182922,-16.203903897977735,-9.414633983310805,-9.414633983310782,13560000.0,17.274646802491475,37.274646802491475,17.274646802491475,39.65588666638037,5.748965172524696,38.018529766388596,3.986213367186159,0.7083333333333333,1.0,-4.440892098500626e-15,True,True,True,True,False,False,False,4.943908496781137e+19,0.39084899603215845,0.5933165625943357,0.0,0.8097284968038722,92.71850392320165,-17.583552068265195,3.76964905643662e-13,1.3644504719401867e+19,0.10786892545455526,0.004599143395191537,215.74635325870247,0.8942020562286493,99.09663865424369,-11.914098974005604,-5.152831960256164e-13,1.2355468750785574e+20,0.9767823494094556,2.1429665595604816e+19,9.947637698934075e+18,0.678575055493198,82.81582757316338,-26.385931046077005,-4.3202789854983124e-13,8.609636176391297e-16,8.151085448450549e-17,7232.404879589237,1.1080694776720241e+20,0.8760029502244272,1.6748553263646602e+18,262334076036186.03,0.6978881697428383,84.27405480543605,-25.08972906183462,-2.8788490832739937e-13,-3.625997247218344e-16,9.38061659689216e-17,632.8896436900359,52.653856484668786,22.429242516609303,20.704698465803204,20.7046984658032,20.904215567603945,21.649251629391355,27.855013765037896,27.072779769225804,46.788436893226205
