target_neutral,product_ion,electron_energy_eV,cross_section_m2,relative_uncertainty,evidence_class
CF,CF+,30,8.1e-21,0.15,measured_parent_ionization
CF,CF+,32,8.6e-21,0.15,measured_parent_ionization
CF,CF+,34,9.1e-21,0.15,measured_parent_ionization
CF,CF+,36,9.5e-21,0.15,measured_parent_ionization
CF,CF+,38,9.899999999999999e-21,0.15,measured_parent_ionization
CF,CF+,40,1.01e-20,0.15,measured_parent_ionization
CF,CF+,45,1.08e-20,0.15,measured_parent_ionization
CF,CF+,50,1.1499999999999998e-20,0.15,measured_parent_ionization
CF,CF+,55,1.1799999999999999e-20,0.15,measured_parent_ionization
CF,CF+,60,1.2299999999999999e-20,0.15,measured_parent_ionization
CF,CF+,65,1.25e-20,0.15,measured_parent_ionization
CF,CF+,70,1.25e-20,0.15,measured_parent_ionization
CF,CF+,80,1.26e-20,0.15,measured_parent_ionization
CF,CF+,90,1.25e-20,0.15,measured_parent_ionization
CF,CF+,100,1.2299999999999999e-20,0.15,measured_parent_ionization
CF,CF+,120,1.1399999999999998e-20,0.15,measured_parent_ionization
CF,CF+,140,1.0399999999999999e-20,0.15,measured_parent_ionization
CF,CF+,160,9e-21,0.15,measured_parent_ionization
CF,CF+,180,7.9e-21,0.15,measured_parent_ionization
CF,CF+,200,6.7e-21,0.15,measured_parent_ionization
