target_neutral,product_ion,neutral_coproduct,electron_energy_eV,cross_section_m2,relative_uncertainty,evidence_class
CF2,CF+,F,15,3.9999999999999997e-22,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,16,9e-22,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,17,1.2999999999999999e-21,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,18,1.8e-21,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,19,2e-21,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,20,2.3e-21,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,22,3.1e-21,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,24,3.6e-21,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,26,4e-21,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,28,4.3e-21,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,30,4.8e-21,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,32,6.2e-21,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,34,7.399999999999999e-21,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,36,8e-21,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,38,8.399999999999999e-21,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,40,8.8e-21,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,45,9.699999999999999e-21,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,50,1.02e-20,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,55,1.08e-20,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,60,1.11e-20,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,65,1.1599999999999998e-20,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,70,1.19e-20,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,80,1.2199999999999999e-20,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,90,1.25e-20,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,100,1.2799999999999999e-20,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,120,1.24e-20,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,140,1.1799999999999999e-20,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,160,1.12e-20,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,180,1.05e-20,0.16,measured_net_CFplus_including_two_onsets
CF2,CF+,F,200,9.3e-21,0.16,measured_net_CFplus_including_two_onsets
CF2,F+,CF,70,6e-21,0.3,single_energy_anchor_mixed_single_and_ion_pair
