panel,quantity,chemistry,specimen,plasma_mode,source_power_on_percent,bias_power_on_percent,value,units,experimental_error_low,experimental_error_high,marker_center_x_crop_px,marker_center_y_crop_px,marker_center_x_full_page_px,marker_center_y_full_page_px,marker,digitization_absolute_bound
c,tio2_acl_selectivity,BCl3/CF4/Ar,blank,S70_B30,70,30,10.8350305,dimensionless,,,1266.0,1400.0,1416.0,1600.0,filled_up_triangle,0.101832994
c,tio2_acl_selectivity,BCl3/CF4/Ar,P1,CW,100,100,5.09164969,dimensionless,,,653.0,1682.0,803.0,1882.0,filled_down_triangle,0.101832994
c,tio2_acl_selectivity,BCl3/CF4/Ar,P1,S30_B70,30,70,7.08757637,dimensionless,,,960.0,1584.0,1110.0,1784.0,filled_down_triangle,0.101832994
c,tio2_acl_selectivity,BCl3/CF4/Ar,P1,S70_B30,70,30,10.1629328,dimensionless,,,1266.0,1433.0,1416.0,1633.0,filled_down_triangle,0.101832994
d,arde_p1_depth_over_p3_depth,C4F8/SF6/Ar,P1_over_P3,CW,100,100,1.48472505,dimensionless,1.4490835,1.54989817,1957.0,1694.0,2107.0,1894.0,filled_square,0.0101832994
d,arde_p1_depth_over_p3_depth,C4F8/SF6/Ar,P1_over_P3,S30_B70,30,70,1.11405295,dimensionless,1.05906314,1.15885947,2262.0,1876.0,2412.0,2076.0,filled_square,0.0101832994
d,arde_p1_depth_over_p3_depth,C4F8/SF6/Ar,P1_over_P3,S70_B30,70,30,1.08961303,dimensionless,1.03971487,1.1395112,2568.0,1888.0,2718.0,2088.0,filled_square,0.0101832994
d,arde_p1_depth_over_p3_depth,BCl3/CF4/Ar,P1_over_P3,CW,100,100,1.89409369,dimensionless,1.84928717,1.9490835,1957.0,1493.0,2107.0,1693.0,filled_circle,0.0101832994
d,arde_p1_depth_over_p3_depth,BCl3/CF4/Ar,P1_over_P3,S30_B70,30,70,1.75152749,dimensionless,1.69959267,1.799389,2262.0,1563.0,2412.0,1763.0,filled_circle,0.0101832994
d,arde_p1_depth_over_p3_depth,BCl3/CF4/Ar,P1_over_P3,S70_B30,70,30,1.65173116,dimensionless,1.59979633,1.69959267,2568.0,1612.0,2718.0,1812.0,filled_circle,0.0101832994
