condition_id,pump_mode,pressure_mTorr,gas_temperature_K,wall_energy_factor_Te,absorbed_power_for_2x_density_W,absorbed_power_for_5x_density_W,transfer_fraction_for_2x_density,transfer_fraction_for_5x_density,upper_endpoint_exceeds_net_power
mahoney-10mT-cryo-100W,throttled_cryogenic,10.0,300.0,5.0,21.925671491190887,54.39312908187896,0.21925671491190887,0.5439312908187897,False
mahoney-20mT-cryo-100W,throttled_cryogenic,20.0,300.0,5.0,21.71688901916361,54.110705039833135,0.2171688901916361,0.5411070503983314,False
mahoney-20mT-mechanical-100W,throttled_mechanical,20.0,300.0,5.0,19.97172506179691,49.747936635072556,0.1997172506179691,0.49747936635072554,False
mahoney-50mT-mechanical-100W,throttled_mechanical,50.0,300.0,5.0,20.56498406232456,51.363243658318176,0.2056498406232456,0.5136324365831818,False
mahoney-100mT-mechanical-100W,throttled_mechanical,100.0,300.0,5.0,10.483970086174903,26.19321730197312,0.10483970086174903,0.2619321730197312,False
mahoney-10mT-cryo-100W,throttled_cryogenic,10.0,300.0,8.0,26.297485018078596,65.31994986228338,0.262974850180786,0.6531994986228338,False
mahoney-20mT-cryo-100W,throttled_cryogenic,20.0,300.0,8.0,25.77377688419172,64.25238484880511,0.2577377688419172,0.6425238484880511,False
mahoney-20mT-mechanical-100W,throttled_mechanical,20.0,300.0,8.0,23.700812636376394,59.07011588738454,0.23700812636376395,0.5907011588738453,False
mahoney-50mT-mechanical-100W,throttled_mechanical,50.0,300.0,8.0,24.084378940641436,60.16170881959323,0.24084378940641435,0.6016170881959323,False
mahoney-100mT-mechanical-100W,throttled_mechanical,100.0,300.0,8.0,12.164391870113633,30.39428170639219,0.12164391870113633,0.3039428170639219,False
mahoney-10mT-cryo-100W,throttled_cryogenic,10.0,600.0,5.0,40.96450697096016,101.15992740058996,0.4096450697096016,1.0115992740058997,True
mahoney-20mT-cryo-100W,throttled_cryogenic,20.0,600.0,5.0,41.40120505539224,102.85323263585798,0.4140120505539224,1.0285323263585797,True
mahoney-20mT-mechanical-100W,throttled_mechanical,20.0,600.0,5.0,38.09028988871898,94.57717081938617,0.38090289888718976,0.9457717081938617,False
mahoney-50mT-mechanical-100W,throttled_mechanical,50.0,600.0,5.0,39.681428376574644,98.99571134090351,0.39681428376574646,0.9899571134090351,False
mahoney-100mT-mechanical-100W,throttled_mechanical,100.0,600.0,5.0,20.198120880430363,50.419996114612275,0.20198120880430362,0.5041999611461228,False
mahoney-10mT-cryo-100W,throttled_cryogenic,10.0,600.0,8.0,49.68530892143175,122.94595699709716,0.4968530892143175,1.2294595699709716,True
mahoney-20mT-cryo-100W,throttled_cryogenic,20.0,600.0,8.0,49.65136570136377,123.47407534899581,0.4965136570136377,1.2347407534899582,True
mahoney-20mT-mechanical-100W,throttled_mechanical,20.0,600.0,8.0,45.67401426443819,113.53193024397903,0.4567401426443819,1.1353193024397903,True
mahoney-50mT-mechanical-100W,throttled_mechanical,50.0,600.0,8.0,46.91082148695009,117.06859240145744,0.46910821486950094,1.1706859240145744,True
mahoney-100mT-mechanical-100W,throttled_mechanical,100.0,600.0,8.0,23.63262380153391,59.0061612116209,0.2363262380153391,0.590061612116209,False
