figure,panel,series,cl2_fraction_percent,value,units,marker_center_x_px,marker_center_y_px,marker_state,digitization_vertical_uncertainty_px,evidence_type
5.10,a,Cl_139_nm_photon_flux,60,1.94217468e+13,cm^-2 s^-1,1437.5,701.5,isolated,4,source_equipment_model_digitized
5.10,a,Cl_139_nm_photon_flux,80,1.99388313e+13,cm^-2 s^-1,1583.5,699.6,isolated,4,source_equipment_model_digitized
5.10,a,Cl_139_nm_photon_flux,90,1.99112763e+13,cm^-2 s^-1,1656.5,699.7,isolated,4,source_equipment_model_digitized
5.10,a,Cl_139_nm_photon_flux,95,1.90493377e+13,cm^-2 s^-1,1693.5,702.9,isolated,4,source_equipment_model_digitized
5.10,c,total_photon_to_total_ion_flux_ratio_beta,5,0.427443609,dimensionless,1032.4,1889.5,isolated,4,source_equipment_model_digitized
5.10,c,total_photon_to_total_ion_flux_ratio_beta,10,0.263533835,dimensionless,1063.5,2107.5,isolated,4,source_equipment_model_digitized
5.10,c,total_photon_to_total_ion_flux_ratio_beta,15,0.186090226,dimensionless,1095.0,2210.5,isolated,4,source_equipment_model_digitized
5.10,c,total_photon_to_total_ion_flux_ratio_beta,20,0.138646617,dimensionless,1126.5,2273.6,isolated,4,source_equipment_model_digitized
5.10,c,total_photon_to_total_ion_flux_ratio_beta,30,0.0989473684,dimensionless,1189.5,2326.4,isolated,4,source_equipment_model_digitized
5.10,c,total_photon_to_total_ion_flux_ratio_beta,40,0.0761654135,dimensionless,1252.0,2356.7,isolated,4,source_equipment_model_digitized
5.10,c,total_photon_to_total_ion_flux_ratio_beta,50,0.0515037594,dimensionless,1315.4,2389.5,isolated,4,source_equipment_model_digitized
5.10,c,total_photon_to_total_ion_flux_ratio_beta,60,0.0439849624,dimensionless,1378.5,2399.5,isolated,4,source_equipment_model_digitized
5.10,c,total_photon_to_total_ion_flux_ratio_beta,80,0.027443609,dimensionless,1504.5,2421.5,isolated,4,source_equipment_model_digitized
5.10,c,total_photon_to_total_ion_flux_ratio_beta,90,0.0187969925,dimensionless,1567.5,2433.0,isolated,4,source_equipment_model_digitized
5.10,c,total_photon_to_total_ion_flux_ratio_beta,95,0.0184962406,dimensionless,1598.9,2433.4,isolated,4,source_equipment_model_digitized
5.10,c,Cl_139_nm_fraction_of_three_line_spectrum,10,0.0255639098,dimensionless,1063.5,2441.0,isolated,4,source_equipment_model_digitized
5.10,c,Cl_139_nm_fraction_of_three_line_spectrum,15,0.0518796992,dimensionless,1095.0,2423.5,isolated,4,source_equipment_model_digitized
5.10,c,Cl_139_nm_fraction_of_three_line_spectrum,20,0.0887218045,dimensionless,1126.5,2399.0,isolated,4,source_equipment_model_digitized
5.10,c,Cl_139_nm_fraction_of_three_line_spectrum,30,0.123308271,dimensionless,1189.5,2376.0,isolated,4,source_equipment_model_digitized
5.10,c,Cl_139_nm_fraction_of_three_line_spectrum,40,0.152330827,dimensionless,1252.0,2356.7,isolated,4,source_equipment_model_digitized
5.10,c,Cl_139_nm_fraction_of_three_line_spectrum,50,0.229924812,dimensionless,1315.4,2305.1,isolated,4,source_equipment_model_digitized
