Energy (eV),Yield,Yield ±,Thickness (Å),Thickness ±
50,0.009433962264150945,0.010006228035658692,7.341131231133359,0.8181278173348
100,0.0625,0.02737779897699033,11.573300792689157,1.083936648716531
200,0.20754716981132074,0.04361613681345974,26.66643089812346,1.586888329896573
