Completed cycle,Ion energy (eV),Cumulative Si etched (material ML),Post-bombardment Cl (material ML),Source row index,Source cycle coordinate
1,40,0.2222222222222222,0.3055555555555556,3254,0.9996927803379416
1,60,0.4166666666666667,0.0972222222222222,3254,0.9996927803379416
1,80,0.7222222222222222,0.0833333333333333,3254,0.9996927803379416
1,100,0.9166666666666666,0.0416666666666666,3254,0.9996927803379416
2,40,0.6111111111111112,0.3194444444444444,6509,1.9996927803379416
2,60,0.9583333333333334,0.1111111111111111,6509,1.9996927803379416
2,80,1.5694444444444444,0.0833333333333333,6509,1.9996927803379416
2,100,1.875,0.0972222222222222,6509,1.9996927803379416
3,40,1.0,0.3472222222222222,9764,2.999692780337942
3,60,1.5,0.2083333333333333,9764,2.999692780337942
3,80,2.1527777777777777,0.0972222222222222,9764,2.999692780337942
3,100,2.875,0.0416666666666666,9764,2.999692780337942
4,40,1.4444444444444444,0.25,13019,3.999692780337942
4,60,2.111111111111111,0.2638888888888889,13019,3.999692780337942
4,80,3.0694444444444446,0.1111111111111111,13019,3.999692780337942
4,100,3.7916666666666665,0.0972222222222222,13019,3.999692780337942
