level,direction,direction_kind,radius_count,switch_fraction_loglog_slope,log_intercept
9,dominant_0,dominant,3,0.8470136998175563,-0.6371780331659782
9,dominant_1,dominant,3,0.9420285840288471,-1.4423696357092979
9,dominant_2,dominant,3,0.9387442726872034,-1.4302409941759708
9,worst_coordinate_0_dof_40,worst_coordinate,3,0.9631784425247386,-2.0817606334181633
9,worst_coordinate_1_dof_18,worst_coordinate,3,0.9595596827195003,-1.8359560224934819
11,dominant_0,dominant,3,0.8493062473484256,-0.6303448039508711
11,dominant_1,dominant,3,0.9383245653143216,-1.4485503521555292
11,dominant_2,dominant,3,0.9387762613226914,-1.4285234176177257
11,worst_coordinate_0_dof_40,worst_coordinate,3,0.9525173319039708,-2.105275585076225
11,worst_coordinate_1_dof_18,worst_coordinate,3,0.953479030740619,-1.847224125768234
13,dominant_0,dominant,3,0.8513802036314139,-0.6248616682989109
13,dominant_1,dominant,3,0.933373545253128,-1.4620508289980285
13,dominant_2,dominant,3,0.9369048891076552,-1.4327936927339153
13,worst_coordinate_0_dof_40,worst_coordinate,3,0.9483407584072846,-2.112782445056128
13,worst_coordinate_1_dof_18,worst_coordinate,3,0.9495532360893998,-1.8553940074438087
