level,radius_v,direction,direction_kind,replicates,frozen_lipschitz,ensemble_lipschitz,between_scramble_error,signal_to_sampling_error,local_current_change_l2,global_current_change,face_switch_fraction,switch_response_fraction,switch_signed_projection_fraction
9,0.025,dominant_0,dominant,8,483.47274961096366,158.01601478562804,126.31635598489613,1.2509545066715058,1.5476057679664725,1.021499104031451,0.023120397808908046,0.1686994408844589,0.12429345336208492
9,0.025,dominant_1,dominant,8,154.36753167920375,64.17880257317432,75.3306664728925,0.8519611677173845,1.1028624455297236,0.9011245524436736,0.007307381465517241,0.15912723922782532,0.10857714963104947
9,0.025,dominant_2,dominant,8,154.94439180735398,61.005791164742085,59.48549853200635,1.0255573655807513,1.1147926276177778,1.0892520314447154,0.007468271072796935,0.19982715176688623,0.14702170253624633
9,0.025,worst_coordinate_0_dof_40,worst_coordinate,8,153.4759766248541,27.745360566076254,26.853014207085366,1.0332307707473463,1.091880758664376,-1.135311455709139,0.0035760521431992334,0.29975807437378293,0.27906232467200026
9,0.025,worst_coordinate_1_dof_18,worst_coordinate,8,152.7851647090517,29.775112264133263,27.770679791516717,1.0721780124816698,0.9576195890217233,1.485197934333617,0.004615286757662835,0.29582970560811495,0.2677275285100997
9,0.05,dominant_0,dominant,8,108.91931174000857,85.24871826194466,85.05286372621048,1.0023027388750207,1.0302245171733284,-0.04795253565704116,0.04225877783764368,0.21435755122611033,0.16675356364357002
9,0.05,dominant_1,dominant,8,237.907462433499,71.14049511312408,63.49725493601536,1.1203711906099032,0.5607841818538669,0.850913743742757,0.014101225754310345,0.15895202932171124,0.10127760075541002
9,0.05,dominant_2,dominant,8,238.55302569546933,65.03838880939826,56.56281868357582,1.149843489470292,0.6727250661802021,0.995285903878911,0.014485677083333332,0.16159835223841104,0.1025901607416592
9,0.05,worst_coordinate_0_dof_40,worst_coordinate,8,76.29943967929445,15.328743590442821,14.073771925435711,1.0891709537184544,0.5027814901210936,-0.7721504750470336,0.006944444444444444,0.2959018559685477,0.26268104308872564
9,0.05,worst_coordinate_1_dof_18,worst_coordinate,8,77.00659716138846,17.011502481043767,14.834010954155659,1.146790475861021,0.5868705633063083,0.676707814273891,0.009049105004789271,0.2776589726667666,0.24239254800607066
9,0.1,dominant_0,dominant,8,124.3931712663915,40.32697596237254,50.03164794704741,0.806029335772707,0.49868344454094055,-0.18994075161944723,0.07480805495689655,0.2742739667296907,0.20818949200683404
9,0.1,dominant_1,dominant,8,50.783949879293765,33.698237406428696,33.11719502936734,1.0175450359411813,0.2988943812402309,0.28207667657269586,0.026972394336685822,0.20011474545923474,0.1395530964580701
9,0.1,dominant_2,dominant,8,122.23565197810272,38.55906686309117,31.590322176410307,1.2205974553777956,0.3806449032877335,0.5207825330320319,0.027441032088122607,0.18169875558652598,0.12178851099154224
9,0.1,worst_coordinate_0_dof_40,worst_coordinate,8,39.07115059906625,15.19701864176644,14.270648804094483,1.0649143462493567,0.36525142139858896,0.005803380936117042,0.01359236560105364,0.21616145629780706,0.1662505132877613
9,0.1,worst_coordinate_1_dof_18,worst_coordinate,8,40.502249855693094,18.510078536854763,15.701486031990058,1.1788743115869738,0.33422637562219254,0.32288615820049016,0.017454651580459772,0.23109439648988211,0.19069573088210182
11,0.025,dominant_0,dominant,8,25.386283607943962,11.394390319787968,10.055875963537895,1.1331076836173655,0.4467134780843577,-0.5869313431048281,0.02309444032866379,1.1307814677061743,0.5548645099551356
11,0.025,dominant_1,dominant,8,10.694716968470775,5.812523580578535,4.660965161097738,1.2470643696486212,0.5549458101146675,0.9082472716082999,0.00735251474197797,1.1996309392871898,0.6910279273693996
11,0.025,dominant_2,dominant,8,10.974055207454633,4.423003355468393,4.13953433180413,1.0684784811388963,0.43959012813819603,-0.34949519710750765,0.0074820682920258615,1.1069885978210103,0.40235076293788924
11,0.025,worst_coordinate_0_dof_40,worst_coordinate,8,11.443103576256322,2.1972448977413093,2.0458229100299334,1.0740151979768182,0.3946443700206978,0.15206471279317657,0.0036258624431273947,0.7123019719012964,0.36004453646222034
11,0.025,worst_coordinate_1_dof_18,worst_coordinate,8,6.359301314320781,2.641870401276449,3.2771695535177963,0.8061439477370338,0.3271077009712059,-0.37090786233722495,0.0046672017181513415,1.1348496624479922,0.5378869514356327
11,0.05,dominant_0,dominant,8,18.72325664966274,10.574334201796022,7.231256666167112,1.4623093453825489,0.9893600610989626,-1.8169174537713857,0.04221504766822318,0.7836322115279323,0.4581110904364251
11,0.05,dominant_1,dominant,8,8.959779254317192,4.194087010194947,3.5651762678987895,1.1764038283208977,0.29265593864258715,0.4978545517913426,0.01420832959171456,1.2853800443095393,0.6310779803030506
11,0.05,dominant_2,dominant,8,8.156816391120188,3.4878166560783783,3.701524358944376,0.942264947588527,0.543164535880042,-0.6985508066324444,0.014502046665469347,1.442031686264758,0.7243710253991053
11,0.05,worst_coordinate_0_dof_40,worst_coordinate,8,3.9577270236352797,1.440875370997584,1.584257167016121,0.9094958829893821,0.12607877471383075,-0.12463752633719505,0.007030969378591954,1.061357752062655,0.3276031242218374
11,0.05,worst_coordinate_1_dof_18,worst_coordinate,8,3.5003572713693116,1.5683481611266488,2.0362957562401878,0.7701966457085013,0.17174561761113186,0.005373104104446261,0.009111777119252873,1.3486039516784312,0.129570174199197
11,0.1,dominant_0,dominant,8,13.911936347598848,9.932835769980318,4.427392437019463,2.243495671837742,0.398814096254867,-0.523743149391816,0.0749619290289751,0.759788977825066,0.609895085188945
