level,radius_v,active_threshold,directions,replicates,complete_direction_set,frozen_directional_condition,ensemble_directional_condition,ensemble_condition_stderr,ensemble_condition_ci_low,ensemble_condition_ci_high,no_switch_directional_condition,no_switch_condition_stderr,signed_log_condition_change,signed_log_condition_change_stderr,switch_component_energy_fraction,switch_component_energy_stderr,switch_signed_projection_fraction,switch_signed_projection_stderr,sigma_max,sigma_min,direction_names
9,0.1,1e-05,5,8,True,52.95071252661372,27.53665556705236,26.638795911279114,11.519593474638464,101.28279766963527,45.34301059864987,38.87035148811676,-0.4987379965531923,0.3319230580635543,0.06558824788813593,0.038379077181714835,0.16213546895700995,0.03553774267553919,61.32154906690058,2.2269062020833017,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
9,0.1,0.0001,5,8,True,52.95071252661372,27.53665556705236,26.638795911279114,11.519593474638464,101.28279766963527,45.34301059864987,38.87035148811676,-0.4987379965531923,0.3319230580635543,0.06558824788813593,0.038379077181714835,0.16213546895700995,0.03553774267553919,61.32154906690058,2.2269062020833017,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
9,0.1,0.001,5,8,True,52.95071252661372,27.53665556705236,26.638795911279114,11.519593474638464,101.28279766963527,45.34301059864987,38.87035148811676,-0.4987379965531923,0.3319230580635543,0.06558824788813593,0.038379077181714835,0.16213546895700995,0.03553774267553919,61.32154906690058,2.2269062020833017,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
9,0.05,1e-05,5,8,True,186.8286867714144,39.589512340385625,57.98197794799624,22.691572196657983,214.3769365231953,77.56302088337046,104.60348805668946,-0.6725265353072628,0.39306819688485845,0.04479483003834911,0.034198213381207154,0.13406820048863927,0.03293151866480656,114.9096298004553,2.902527033232358,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
9,0.05,0.0001,5,8,True,186.8286867714144,39.589512340385625,57.98197794799624,22.691572196657983,214.3769365231953,77.56302088337046,104.60348805668946,-0.6725265353072628,0.39306819688485845,0.04479483003834911,0.034198213381207154,0.13406820048863927,0.03293151866480656,114.9096298004553,2.902527033232358,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
9,0.05,0.001,5,8,True,186.8286867714144,39.589512340385625,57.98197794799624,22.691572196657983,214.3769365231953,77.56302088337046,104.60348805668946,-0.6725265353072628,0.39306819688485845,0.04479483003834911,0.034198213381207154,0.13406820048863927,0.03293151866480656,114.9096298004553,2.902527033232358,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
9,0.025,1e-05,5,8,True,44.64061687044585,49.21107874156788,55.95992074314352,19.176822156685404,231.88410981410306,99.57200016911732,92.84331569200276,-0.7047622264443848,0.2632045481143576,0.040247019128053785,0.04557871734622394,0.13201577988180427,0.04407444970359089,168.26646451001812,3.419280146116486,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
9,0.025,0.0001,5,8,True,44.64061687044585,49.21107874156788,55.95992074314352,19.176822156685404,231.88410981410306,99.57200016911732,92.84331569200276,-0.7047622264443848,0.2632045481143576,0.040247019128053785,0.04557871734622394,0.13201577988180427,0.04407444970359089,168.26646451001812,3.419280146116486,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
9,0.025,0.001,5,8,True,44.64061687044585,49.21107874156788,55.95992074314352,19.176822156685404,231.88410981410306,99.57200016911732,92.84331569200276,-0.7047622264443848,0.2632045481143576,0.040247019128053785,0.04557871734622394,0.13201577988180427,0.04407444970359089,168.26646451001812,3.419280146116486,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
11,0.1,1e-05,5,8,True,18.23557862296147,16.049426316050457,3.7140156382811274,8.733082837986965,23.36212120011952,25.856317479151485,4.772907007607141,-0.4768818556162864,0.2677345097648104,0.5809193390578544,0.044468015754728946,0.5990833278654084,0.046972735806951355,10.441996363005648,0.6506149289936289,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
11,0.1,0.0001,5,8,True,18.23557862296147,16.049426316050457,3.7140156382811274,8.733082837986965,23.36212120011952,25.856317479151485,4.772907007607141,-0.4768818556162864,0.2677345097648104,0.5809193390578544,0.044468015754728946,0.5990833278654084,0.046972735806951355,10.441996363005648,0.6506149289936289,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
