low_level,high_level,radius_v,direction,difference_l2,combined_error_l2,difference_sigma
11,13,0.1,worst_coordinate_0_dof_40,1.1881891393013315,1.414600545450122,0.8399467560810624
11,13,0.1,worst_coordinate_1_dof_18,1.406091034639631,1.5724325857117003,0.8942138743602916
11,13,0.1,dominant_0,6.4490746942689725,5.0587455172896245,1.2748367499862414
11,13,0.1,dominant_1,3.5228424722639446,3.554472645720929,0.9911013034535342
11,13,0.1,dominant_2,2.9375628839950068,3.5575879101934214,0.8257175811673183
11,13,0.05,worst_coordinate_0_dof_40,1.339858165078192,1.954786683968891,0.6854242337879128
11,13,0.05,worst_coordinate_1_dof_18,1.6124225460934856,2.1775102049878434,0.740489088133797
11,13,0.05,dominant_0,8.539286708918603,8.367799805298576,1.02049366710607
11,13,0.05,dominant_1,4.048778470323438,4.027091595598173,1.0053852449616418
11,13,0.05,dominant_2,4.584296892843075,5.128255358536169,0.8939291381448752
11,13,0.025,worst_coordinate_0_dof_40,2.696326538390025,2.8759184455382107,0.9375531989000556
11,13,0.025,worst_coordinate_1_dof_18,2.016380972103322,3.4797735611632143,0.5794575240778853
11,13,0.025,dominant_0,8.666490675400471,10.72794434045789,0.8078426211363591
11,13,0.025,dominant_1,5.196263183363823,5.146068914802919,1.0097539052414393
11,13,0.025,dominant_2,4.460690433469299,4.986096160273717,0.8946258335347518
