electron_energy_eV,cross_section_m2,evidence_class
0.1,1.85e-20,suggested_dissociative_SF5_minus
0.12,2.09e-20,suggested_dissociative_SF5_minus
0.14,2.3599999999999998e-20,suggested_dissociative_SF5_minus
0.15,2.48e-20,suggested_dissociative_SF5_minus
0.16,2.6099999999999997e-20,suggested_dissociative_SF5_minus
0.18,2.87e-20,suggested_dissociative_SF5_minus
0.2,3.15e-20,suggested_dissociative_SF5_minus
0.22,3.45e-20,suggested_dissociative_SF5_minus
0.25,3.86e-20,suggested_dissociative_SF5_minus
0.28,4.15e-20,suggested_dissociative_SF5_minus
0.3,4.24e-20,suggested_dissociative_SF5_minus
0.35,4.07e-20,suggested_dissociative_SF5_minus
0.4,3.45e-20,suggested_dissociative_SF5_minus
0.45,2.75e-20,suggested_dissociative_SF5_minus
0.5,2.1499999999999998e-20,suggested_dissociative_SF5_minus
0.6,1.25e-20,suggested_dissociative_SF5_minus
0.7,7.2e-21,suggested_dissociative_SF5_minus
0.8,4.1999999999999995e-21,suggested_dissociative_SF5_minus
0.9,2.5e-21,suggested_dissociative_SF5_minus
1.0,1.5e-21,suggested_dissociative_SF5_minus
1.2,6e-22,suggested_dissociative_SF5_minus
1.5,1.9999999999999999e-22,suggested_dissociative_SF5_minus
1.9,4.9999999999999997e-23,suggested_dissociative_SF5_minus
