accepted_step,rejected_steps,pseudo_time_s,timestep_s,rms_relative_current_imbalance_node,max_relative_current_imbalance_node,minimum_potential_v,maximum_potential_v,charge_conservation_residual_c
1,1,6.25e-08,6.25e-08,0.179905694424933,0.46722599693701766,-13.47001615509796,43.58018996096336,-6.7407548053553255e-34
2,5,6.640625e-08,3.90625e-09,0.17988757672093328,0.46635393638075645,-13.464934273899111,43.588127573568705,1.2037062152420224e-35
3,7,6.73828125e-08,9.765625e-10,0.17945372655653102,0.4660654238009291,-13.463685451056142,43.59008678800035,4.513898307157584e-36
4,8,6.787109375e-08,4.8828125e-10,0.1794280397462761,0.46595887028116983,-13.463065552365384,43.59106079347461,3.009265538105056e-36
5,12,6.7901611328125e-08,3.0517578125e-11,0.17942493291177436,0.4659517784654336,-13.463026937735401,43.59112151273586,-2.82118644197349e-37
6,13,6.79168701171875e-08,1.52587890625e-11,0.17942363166777497,0.4659486205832285,-13.463007634616133,43.591151867424124,7.052966104933725e-38
